school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Villanova,Big East,9.92,14.17,122.35,86.03
Kansas,Big 12,14.28,9.59,121.72,86.77
North Carolina,ACC,16.74,6.70,123.72,89.33
Michigan State,Big Ten,12.25,10.34,123.30,89.06
Virginia,ACC,4.12,17.92,122.22,87.24
West Virginia,Big 12,10.88,10.73,116.24,85.43
Louisville,ACC,6.19,15.39,116.29,83.90
Kentucky,SEC,11.92,8.31,121.51,91.18
Purdue,Big Ten,10.01,10.16,117.20,86.85
Oklahoma,Big 12,12.91,6.85,117.93,89.54
Indiana,Big Ten,13.68,5.91,123.27,93.87
Duke,ACC,13.71,5.52,122.67,94.40
Arizona,Pac-12,10.88,7.90,117.35,89.84
Xavier,Big East,12.97,5.60,116.92,89.75
Miami (FL),ACC,8.72,9.80,119.68,91.95
Texas A&M,SEC,7.66,10.80,114.22,87.35
Southern Methodist,AAC,8.37,10.06,121.21,92.47
Oregon,Pac-12,10.14,7.91,118.31,91.71
Wichita State,MVC,4.00,13.39,111.86,85.51
Vanderbilt,SEC,7.45,9.75,114.58,89.32
Iowa,Big Ten,9.80,7.21,116.29,91.08
Iowa State,Big 12,15.69,1.24,120.73,95.90
Gonzaga,WCC,8.08,8.84,117.39,92.06
Maryland,Big Ten,7.96,8.76,117.32,91.83
Butler,Big East,11.28,5.18,117.84,94.72
Baylor,Big 12,9.63,6.50,119.52,95.20
Connecticut,AAC,4.41,11.48,112.48,88.40
Utah,Pac-12,7.81,7.69,116.79,94.23
Pittsburgh,ACC,6.32,9.15,115.81,92.54
California,Pac-12,6.56,8.84,112.14,89.00
Cincinnati,AAC,4.15,11.04,112.05,89.50
Texas,Big 12,4.13,10.67,113.41,91.29
Florida,SEC,6.07,8.62,110.33,88.70
Seton Hall,Big East,6.27,8.39,110.16,88.27
Syracuse,ACC,2.69,11.93,112.35,89.41
Notre Dame,ACC,7.63,6.47,120.15,98.68
Virginia Commonwealth,A-10,7.19,6.64,111.68,90.61
Michigan,Big Ten,5.59,8.15,116.93,95.27
Creighton,Big East,10.10,3.59,115.02,95.00
Saint Mary's (CA),WCC,1.89,11.71,118.39,95.84
Southern California,Pac-12,11.43,2.10,114.09,94.38
Wisconsin,Big Ten,-0.13,13.53,110.69,89.70
Georgia Tech,ACC,6.35,6.16,114.24,95.40
Texas Tech,Big 12,5.06,7.35,113.17,94.37
Brigham Young,WCC,12.03,0.32,111.91,93.95
Kansas State,Big 12,2.85,9.46,108.87,90.25
Florida State,ACC,10.23,1.94,112.90,94.47
Saint Joseph's,A-10,8.31,3.78,112.75,94.37
Colorado,Pac-12,4.93,7.10,109.16,91.27
Clemson,ACC,1.35,10.69,112.51,93.00
South Carolina,SEC,6.55,5.46,108.83,91.25
Providence,Big East,5.04,6.90,109.39,91.16
San Diego State,MWC,-2.41,14.29,104.70,86.56
George Washington,A-10,5.64,5.79,113.59,96.20
Dayton,A-10,2.28,9.06,107.06,89.62
Washington,Pac-12,15.81,-4.60,110.24,94.09
Valparaiso,Horizon,0.23,10.48,104.97,88.28
UCLA,Pac-12,8.03,2.45,112.81,96.79
Oregon State,Pac-12,3.46,6.93,110.36,94.67
Georgetown,Big East,5.17,5.14,111.05,95.28
Houston,AAC,8.08,2.22,116.02,100.18
Arkansas,SEC,8.69,1.54,110.80,95.57
Northwestern,Big Ten,1.68,8.48,112.15,95.40
Virginia Tech,ACC,6.69,3.24,109.62,94.09
Memphis,AAC,7.65,2.19,106.65,91.89
NC State,ACC,6.70,3.12,113.21,97.99
Tulsa,AAC,5.00,4.79,110.28,94.85
Georgia,SEC,2.05,7.36,107.11,92.72
Ohio State,Big Ten,2.46,6.93,107.10,92.42
Stephen F. Austin,Southland,2.91,6.32,110.10,95.00
Yale,Ivy,0.55,8.53,107.91,92.95
Hawaii,Big West,4.61,4.42,107.63,93.57
Nebraska,Big Ten,3.85,4.99,110.67,96.76
Louisiana State,SEC,9.96,-1.17,112.28,98.54
Northern Iowa,MVC,-1.06,9.84,110.18,95.86
Arizona State,Pac-12,4.08,4.19,109.20,96.39
Mississippi State,SEC,5.55,2.63,110.08,96.86
Oklahoma State,Big 12,-1.35,9.53,106.91,94.52
Evansville,MVC,3.23,4.87,107.39,94.73
Stanford,Pac-12,1.15,6.91,108.57,95.89
Rhode Island,A-10,-0.29,8.21,107.47,94.36
Mississippi,SEC,5.49,2.42,110.11,97.80
Tennessee,SEC,5.80,2.00,109.98,97.98
Temple,AAC,0.52,7.17,106.88,94.37
Marquette,Big East,6.21,1.44,108.20,96.30
Richmond,A-10,7.05,0.23,113.76,102.18
Boise State,MWC,5.15,2.08,109.45,98.02
Princeton,Ivy,5.26,1.91,110.49,99.16
Alabama,SEC,-2.33,9.46,104.74,93.72
Little Rock,Sun Belt,-3.25,10.37,107.20,94.35
St. Bonaventure,A-10,5.95,0.60,111.29,100.62
Oakland,Horizon,13.40,-7.10,113.94,104.42
UNC Wilmington,CAA,6.31,-0.06,108.31,98.80
James Madison,CAA,1.52,4.66,106.31,96.22
Davidson,A-10,8.98,-3.25,113.52,104.19
William & Mary,CAA,5.51,0.06,111.14,101.72
Akron,MAC (East),2.02,3.53,107.77,98.42
Wake Forest,ACC,6.13,-0.59,107.23,97.65
Nevada-Las Vegas,MWC,5.99,-0.50,103.05,94.33
South Dakota State,Summit,3.72,1.71,108.99,99.62
UC Irvine,Big West,-0.54,5.86,103.99,95.11
Monmouth,MAAC,5.90,-0.61,104.68,96.43
Fresno State,MWC,3.14,2.13,106.16,97.44
New Mexico,MWC,5.16,0.05,107.90,99.21
Hofstra,CAA,6.72,-1.71,109.17,100.88
UT Arlington,Sun Belt,5.53,-0.51,104.85,96.82
Old Dominion,CUSA,-6.57,11.23,104.56,95.67
Illinois,Big Ten,3.61,0.77,107.17,99.78
Long Beach State,Big West,4.64,-0.55,107.09,100.09
TCU,Big 12,-0.78,4.86,101.48,94.36
UC Santa Barbara,Big West,-1.42,5.20,103.76,96.80
Stony Brook,AEC,-1.06,4.81,104.59,97.00
Iona,MAAC,6.73,-3.15,107.97,101.50
New Mexico State,WAC,-3.25,6.83,102.20,95.54
UAB,CUSA,3.48,0.02,107.71,101.11
Columbia,Ivy,1.60,1.86,111.37,104.35
Illinois State,MVC,-2.03,5.43,102.57,95.78
Chattanooga,Southern,-0.54,3.78,105.51,99.23
Penn State,Big Ten,-2.76,5.93,102.23,96.33
Toledo,MAC (West),3.12,-0.16,107.52,102.16
Milwaukee,Horizon,3.22,-0.33,110.23,104.34
Nevada,MWC,2.37,0.48,100.96,95.23
Southern Illinois,MVC,2.62,0.17,105.02,100.20
Utah State,MWC,1.93,0.76,109.46,104.37
Middle Tennessee,CUSA,-1.76,4.42,103.01,97.87
Louisiana,Sun Belt,5.64,-3.02,108.42,102.98
Cal State Bakersfield,WAC,-2.09,4.67,101.53,95.96
Missouri,SEC,-0.46,2.95,103.62,98.95
College of Charleston,CAA,-8.65,11.02,95.83,91.22
Pepperdine,WCC,0.66,1.66,104.69,100.19
Colorado State,MWC,7.18,-4.87,111.11,106.28
Ohio,MAC (East),5.82,-3.92,108.70,104.90
Fordham,A-10,-2.44,4.31,101.81,98.64
Siena,MAAC,4.12,-2.40,105.00,101.37
Northeastern,CAA,0.00,1.61,105.35,101.59
Grand Canyon,WAC,0.42,1.02,103.39,99.45
Duquesne,A-10,7.18,-5.77,106.57,103.61
Buffalo,MAC (East),4.50,-3.16,103.43,100.06
Belmont,OVC (East),9.19,-8.00,111.79,108.70
Green Bay,Horizon,10.71,-9.55,105.40,102.16
UNC Asheville,Big South,0.44,0.66,99.46,96.98
Morehead State,OVC (East),-2.47,3.51,103.31,100.25
Albany (NY),AEC,-1.41,2.34,103.84,101.00
Minnesota,Big Ten,-0.77,1.63,101.43,99.03
DePaul,Big East,-0.79,1.61,104.20,102.33
Marshall,CUSA,13.38,-12.55,108.26,105.64
Massachusetts,A-10,2.69,-2.05,102.12,100.09
Washington State,Pac-12,1.13,-0.63,102.86,101.27
UCF,AAC,-1.53,1.71,101.27,99.79
Weber State,Big Sky,-2.48,2.66,101.53,99.59
Wright State,Horizon,-6.69,6.87,99.22,97.36
Auburn,SEC,2.34,-2.19,101.58,100.64
Ball State,MAC (West),-3.31,3.42,101.94,100.53
Wyoming,MWC,-1.49,1.58,106.59,104.70
Indiana State,MVC,-1.60,1.64,97.42,96.19
Purdue Fort Wayne,Summit,4.78,-4.79,107.29,105.95
Towson,CAA,-2.81,2.76,102.58,101.83
Louisiana Tech,CUSA,4.10,-4.17,102.81,101.64
Eastern Michigan,MAC (West),2.82,-2.96,104.44,102.81
Louisiana-Monroe,Sun Belt,-1.55,1.37,103.45,102.10
Omaha,Summit,11.89,-12.13,106.34,105.38
East Carolina,AAC,-0.70,0.33,103.39,102.79
Northern Illinois,MAC (West),-3.03,2.57,99.03,98.17
High Point,Big South,0.82,-1.34,108.33,107.36
Central Michigan,MAC (West),1.52,-2.19,108.36,107.48
Elon,CAA,3.63,-4.30,103.60,103.68
Loyola (IL),MVC,-6.06,5.36,98.11,98.22
Montana,Big Sky,-3.34,2.61,103.59,102.38
Florida Gulf Coast,A-Sun,-1.41,0.63,101.04,100.51
Tulane,AAC,-3.77,2.91,96.92,96.84
North Dakota State,Summit,-7.36,6.43,99.61,98.84
Harvard,Ivy,-5.94,4.98,98.32,98.32
Western Kentucky,CUSA,1.70,-2.99,106.66,106.69
North Florida,A-Sun,7.70,-9.11,111.33,111.91
Winthrop,Big South,5.77,-7.19,105.05,106.02
East Tennessee State,Southern,2.19,-3.68,104.50,105.06
Vermont,AEC,-0.11,-1.39,104.77,105.11
Kent State,MAC (East),-0.36,-1.17,104.00,104.75
Murray State,OVC (West),-4.23,2.65,104.31,104.59
Boston College,ACC,-6.91,5.30,95.62,97.34
George Mason,A-10,-2.75,0.96,99.33,100.76
Tennessee State,OVC (East),-2.85,1.03,99.17,100.12
Coastal Carolina,Big South,-4.61,2.76,99.38,100.62
St. John's (NY),Big East,-1.47,-0.43,96.43,97.16
Western Michigan,MAC (West),0.11,-2.18,101.41,103.07
Bucknell,Patriot,3.63,-5.71,102.56,104.56
Portland,WCC,5.08,-7.29,104.77,106.38
Detroit Mercy,Horizon,8.87,-11.31,108.14,109.64
Oral Roberts,Summit,1.54,-4.23,104.97,107.15
Saint Louis,A-10,-4.59,1.86,96.16,99.42
Georgia State,Sun Belt,-7.20,4.40,98.29,100.30
Furman,Southern,-5.23,2.39,102.02,104.37
South Florida,AAC,-5.83,2.97,97.31,100.73
San Francisco,WCC,4.33,-7.25,104.81,107.21
Mercer,Southern,-5.32,2.21,102.50,104.77
Charlotte,CUSA,3.24,-6.38,103.70,106.57
Texas A&M-Corpus Christi,Southland,-2.85,-0.33,99.52,102.17
Tennessee Tech,OVC (East),2.52,-5.73,105.94,109.21
Denver,Summit,-10.40,7.06,101.39,105.11
Cal Poly,Big West,0.20,-3.69,105.12,109.08
Missouri State,MVC,-2.06,-1.46,99.10,102.63
Eastern Kentucky,OVC (East),5.01,-8.54,104.74,109.02
Pacific,WCC,-3.58,0.01,100.19,104.08
Loyola Marymount,WCC,-0.79,-2.84,102.19,106.50
North Dakota,Big Sky,-0.47,-3.21,97.38,101.53
Wofford,Southern,-3.06,-0.69,103.82,107.81
UTEP,CUSA,1.54,-5.35,100.48,104.64
Fairfield,MAAC,3.04,-6.88,101.17,105.55
NJIT,A-Sun,-1.74,-2.43,100.14,104.50
Lehigh,Patriot,-2.57,-1.85,100.86,105.95
Eastern Washington,Big Sky,3.78,-8.24,108.92,113.60
Texas Southern,SWAC,-1.59,-3.05,102.49,107.47
Santa Clara,WCC,-4.18,-0.49,99.93,105.48
Wagner,NEC,-7.65,2.86,96.36,101.17
Western Carolina,Southern,-2.10,-2.88,98.25,103.29
Navy,Patriot,-8.45,3.46,95.54,100.98
Rider,MAAC,-8.02,3.02,96.11,102.19
Saint Peter's,MAAC,-10.24,5.24,94.33,100.58
Drake,MVC,-3.21,-1.94,102.58,109.36
Radford,Big South,-2.21,-2.96,100.86,106.90
Idaho,Big Sky,-8.38,3.19,96.10,101.91
Florida International,CUSA,-4.71,-0.54,100.80,106.24
Texas State,Sun Belt,-10.11,4.75,96.09,102.32
Drexel,CAA,-8.35,2.93,96.70,103.77
Air Force,MWC,-5.17,-0.34,97.00,103.51
Tennessee-Martin,OVC (West),-3.08,-2.49,101.15,107.87
Dartmouth,Ivy,-5.48,-0.10,97.60,103.92
South Dakota,Summit,3.08,-8.67,103.15,109.43
UC Davis,Big West,-8.96,3.38,92.43,99.24
Canisius,MAAC,2.46,-8.08,105.14,112.00
Georgia Southern,Sun Belt,-0.74,-4.91,101.39,107.54
UC Riverside,Big West,-6.08,0.42,97.75,104.21
San Jose State,MWC,-4.48,-1.32,95.61,102.02
IU Indy,Summit,-5.00,-0.85,95.92,102.23
Bowling Green State,MAC (East),-4.40,-1.48,97.81,104.46
Miami (OH),MAC (East),-9.66,3.75,95.47,102.95
Samford,Southern,-2.15,-3.80,99.17,106.20
UNC Greensboro,Southern,-3.64,-2.36,99.86,106.97
Austin Peay,OVC (West),-0.02,-6.02,101.02,107.76
Sam Houston,Southland,-4.25,-1.82,99.65,106.29
La Salle,A-10,-6.48,0.40,97.48,105.71
Pennsylvania,Ivy,-4.24,-1.94,97.80,105.61
Western Illinois,Summit,-4.64,-1.56,98.49,105.93
Kansas City,WAC,-4.18,-2.13,100.14,107.81
Boston University,Patriot,-1.55,-5.24,99.08,107.13
Cal State Northridge,Big West,-1.09,-5.76,97.39,105.38
Northern Kentucky,Horizon,-4.66,-2.22,98.38,106.69
Montana State,Big Sky,0.17,-7.08,103.74,111.73
Gardner-Webb,Big South,-2.91,-4.01,97.13,105.36
Rutgers,Big Ten,-1.86,-5.19,96.75,104.66
Cal State Fullerton,Big West,-3.10,-4.02,99.16,107.99
Army,Patriot,0.86,-8.18,96.87,106.20
Arkansas State,Sun Belt,0.09,-7.57,96.68,105.29
Manhattan,MAAC,-5.29,-2.18,96.50,105.74
Norfolk State,MEAC,-1.64,-5.91,101.76,111.61
Southern,SWAC,-5.10,-2.58,95.97,105.54
San Diego,WCC,-10.98,3.19,91.45,101.56
New Hampshire,AEC,-5.78,-2.11,96.27,106.33
Appalachian State,Sun Belt,-1.64,-6.27,98.26,107.56
Brown,Ivy,0.47,-8.52,99.90,109.50
Portland State,Big Sky,0.27,-8.42,98.98,108.85
South Alabama,Sun Belt,-4.94,-3.25,92.62,102.54
Eastern Illinois,OVC (West),-4.82,-3.53,98.09,108.96
Kennesaw State,A-Sun,-3.42,-5.15,97.82,108.37
Colgate,Patriot,-5.37,-3.24,99.73,110.71
Delaware,CAA,-4.63,-4.00,98.19,109.31
Sacramento State,Big Sky,-5.00,-3.64,96.06,106.87
Jackson State,SWAC,-8.53,-0.13,90.70,101.28
Hampton,MEAC,-1.41,-7.34,95.65,106.70
Rice,CUSA,1.00,-9.79,103.69,114.06
Lipscomb,A-Sun,1.99,-10.83,98.56,109.24
Cleveland State,Horizon,-14.07,4.90,89.73,101.78
Incarnate Word,Southland,-5.43,-3.78,97.58,107.88
Troy,Sun Belt,-4.96,-4.25,95.76,107.47
Jacksonville,A-Sun,-2.19,-7.15,96.82,108.33
Cornell,Ivy,-1.27,-8.28,95.51,107.72
Utah Valley,WAC,1.36,-10.93,96.89,108.03
Seattle,WAC,-10.46,0.84,92.24,104.29
Idaho State,Big Sky,-3.90,-5.93,96.33,108.18
North Texas,CUSA,-2.32,-7.52,98.08,109.94
Mount St. Mary's,NEC,-8.81,-1.12,91.09,103.49
South Carolina State,MEAC,-4.23,-5.76,99.32,112.12
Jacksonville State,OVC (East),-9.18,-1.08,95.44,108.67
Florida Atlantic,CUSA,-8.54,-1.76,92.65,105.49
Quinnipiac,MAAC,-9.57,-0.81,88.33,101.07
Houston Christian,Southland,-2.07,-8.32,98.19,111.05
Liberty,Big South,-11.47,1.05,95.60,109.96
Southern Mississippi,CUSA,-11.11,0.53,94.18,108.58
SIU Edwardsville,OVC (West),-9.19,-1.59,92.05,106.46
Stetson,A-Sun,1.35,-12.13,100.38,113.60
Youngstown State,Horizon,2.62,-13.48,99.42,112.81
FDU,NEC,1.37,-12.27,99.82,113.27
Loyola (MD),Patriot,-4.79,-6.11,96.95,110.83
Bradley,MVC,-12.86,1.95,86.83,101.75
Charleston Southern,Big South,-4.55,-6.37,96.47,110.73
Campbell,Big South,-4.53,-6.55,97.64,112.01
Holy Cross,Patriot,-11.03,-0.17,93.40,108.37
St. Francis (NY),NEC,-11.75,0.52,89.54,104.25
Niagara,MAAC,-10.66,-0.60,91.16,106.06
Longwood,Big South,-3.55,-7.87,96.84,111.65
Marist,MAAC,-2.95,-8.74,98.75,114.36
Long Island University,NEC,-0.90,-10.88,96.53,111.70
Northern Colorado,Big Sky,-2.24,-9.98,99.15,114.58
Morgan State,MEAC,-7.65,-4.92,91.20,107.82
Saint Francis (PA),NEC,-6.96,-5.62,96.28,112.86
VMI,Southern,-7.09,-5.87,93.35,110.63
North Carolina Central,MEAC,-9.87,-3.13,93.28,109.98
Sacred Heart,NEC,-2.46,-10.55,95.62,112.35
Alabama State,SWAC,-5.05,-8.06,93.40,110.46
Presbyterian,Big South,-10.65,-2.72,89.54,107.74
Alabama A&M,SWAC,-8.20,-5.27,95.84,113.61
Robert Morris,NEC,-11.49,-2.04,87.94,105.19
Massachusetts-Lowell,AEC,0.12,-13.72,96.71,114.25
Southeastern Louisiana,Southland,-6.86,-6.75,94.25,111.24
South Carolina Upstate,A-Sun,-6.30,-7.48,96.03,114.12
Abilene Christian,Southland,-7.39,-6.54,93.88,111.95
Binghamton,AEC,-16.36,2.28,84.27,103.22
American,Patriot,-17.98,3.80,87.41,107.59
New Orleans,Southland,-3.97,-10.24,92.95,110.75
Maryland-Eastern Shore,MEAC,-7.75,-6.48,93.29,111.76
Hartford,AEC,-3.32,-10.97,96.39,114.93
Bethune-Cookman,MEAC,-8.27,-6.08,93.32,111.46
Howard,MEAC,-6.58,-7.85,89.77,108.09
Illinois-Chicago,Horizon,-7.97,-6.55,86.32,104.65
Lamar,Southland,-4.06,-10.64,93.67,111.52
Lafayette,Patriot,-3.02,-11.98,95.42,115.40
Central Arkansas,Southland,-1.23,-13.93,96.77,115.72
McNeese State,Southland,-6.15,-9.09,93.38,112.08
Maryland-Baltimore County,AEC,-3.99,-11.38,96.30,116.72
Savannah State,MEAC,-15.74,0.35,84.19,104.37
Northwestern State,Southland,0.60,-16.34,97.08,116.24
Coppin State,MEAC,-3.95,-11.80,92.28,112.10
The Citadel,Southern,9.08,-25.03,98.04,116.06
Alcorn State,SWAC,-9.58,-6.43,91.45,112.46
Southeast Missouri State,OVC (West),-8.56,-7.49,88.14,109.22
UTSA,CUSA,-2.29,-14.07,94.72,114.95
Nicholls State,Southland,-10.53,-6.15,87.75,108.42
North Carolina A&T,MEAC,-8.31,-8.48,90.95,112.97
Southern Utah,Big Sky,-6.47,-10.90,94.13,117.74
Maine,AEC,0.84,-18.23,91.35,112.68
Prairie View,SWAC,-13.61,-3.82,84.28,107.46
Chicago State,WAC,-9.96,-7.55,87.93,110.59
Texas-Rio Grande Valley,WAC,-8.97,-8.91,92.49,116.38
Northern Arizona,Big Sky,-7.09,-11.20,89.57,113.70
Bryant,NEC,-10.67,-7.91,89.86,114.99
Arkansas-Pine Bluff,SWAC,-17.45,-1.86,83.34,109.76
Grambling,SWAC,-16.35,-3.27,83.58,109.76
Mississippi Valley State,SWAC,-8.86,-10.99,85.86,111.61
Delaware State,MEAC,-15.01,-5.87,83.71,112.63
Florida A&M,MEAC,-14.89,-6.85,79.14,107.87
Central Connecticut State,NEC,-11.39,-10.96,87.28,117.37
