school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Alabama,SEC,16.81,6.38,116.59,84.21
Connecticut,Big East,11.40,11.55,120.24,87.74
Houston,AAC,5.59,16.60,118.29,84.87
UCLA,Pac-12,7.51,14.61,116.30,84.44
Tennessee,SEC,4.15,16.69,113.02,82.38
Texas,Big 12,11.50,9.06,117.44,88.11
Kansas,Big 12,10.82,8.38,115.75,88.87
Arizona,Pac-12,16.78,2.30,119.30,93.21
Gonzaga,WCC,17.17,1.82,123.14,96.56
Purdue,Big Ten,6.20,12.02,118.18,90.98
Creighton,Big East,9.54,8.29,116.51,90.96
Saint Mary's (CA),WCC,1.26,16.15,113.60,87.49
Baylor,Big 12,11.99,5.31,120.65,96.38
Marquette,Big East,12.47,4.59,118.55,94.39
Xavier,Big East,13.90,2.13,117.67,95.59
Arkansas,SEC,8.68,7.30,112.20,89.64
West Virginia,Big 12,10.83,5.12,117.45,95.01
Duke,ACC,4.64,11.19,113.58,90.13
San Diego State,MWC,3.71,12.11,111.42,88.26
Kansas State,Big 12,11.03,4.75,113.22,90.98
TCU,Big 12,8.77,6.83,112.52,90.99
Iowa State,Big 12,0.56,14.80,108.21,86.45
Indiana,Big Ten,8.49,6.45,115.04,93.62
Illinois,Big Ten,8.56,6.25,111.43,90.85
Kentucky,SEC,7.72,7.03,116.86,95.26
Maryland,Big Ten,3.67,10.91,114.39,92.42
Rutgers,Big Ten,1.24,13.33,106.96,86.04
Memphis,AAC,11.95,2.55,113.01,92.66
Auburn,SEC,6.77,7.57,112.19,91.74
Michigan State,Big Ten,5.11,9.14,113.63,92.82
Utah State,MWC,10.31,3.92,115.77,95.79
Iowa,Big Ten,15.11,-1.02,120.48,100.66
Miami (FL),ACC,12.19,1.79,118.42,98.47
Florida Atlantic,CUSA,7.46,6.46,114.19,93.93
Oregon,Pac-12,6.24,7.59,113.55,93.82
Texas A&M,SEC,5.62,8.14,114.16,94.06
Northwestern,Big Ten,1.82,11.86,109.51,90.07
Virginia,ACC,-0.68,13.96,111.90,91.71
Southern California,Pac-12,7.27,5.79,112.00,93.74
Penn State,Big Ten,7.07,5.97,117.68,98.67
Ohio State,Big Ten,7.52,5.47,116.01,97.30
North Carolina,ACC,9.31,3.62,112.23,93.93
Providence,Big East,9.40,3.49,115.07,97.47
Boise State,MWC,3.92,8.86,109.90,91.45
Oklahoma State,Big 12,2.94,9.68,106.52,88.41
Texas Tech,Big 12,5.96,6.62,111.79,94.74
NC State,ACC,9.38,3.12,113.35,96.13
Michigan,Big Ten,7.72,4.71,112.11,94.40
Cincinnati,AAC,7.51,4.26,112.17,95.79
Mississippi State,SEC,-1.91,13.34,105.86,89.07
Missouri,SEC,11.99,-0.59,118.34,102.33
Oklahoma,Big 12,3.09,8.29,111.13,94.36
Utah,Pac-12,2.51,8.82,107.25,91.22
Arizona State,Pac-12,4.82,6.47,107.80,91.60
Colorado,Pac-12,4.45,6.72,107.31,91.58
UCF,AAC,2.50,8.59,109.31,92.20
Seton Hall,Big East,0.88,10.13,106.75,91.12
Wisconsin,Big Ten,-0.11,11.09,107.56,91.54
UAB,CUSA,11.17,-0.21,111.06,95.79
Florida,SEC,5.17,5.73,107.45,91.83
New Mexico,MWC,12.61,-1.79,113.45,98.47
North Texas,CUSA,-4.93,15.64,110.30,92.94
Villanova,Big East,2.48,8.12,112.68,97.01
Pittsburgh,ACC,6.56,4.03,113.34,98.01
Clemson,ACC,6.03,4.51,110.66,95.54
Washington State,Pac-12,2.19,8.33,112.19,96.78
Nevada,MWC,4.55,5.45,110.80,95.99
Virginia Commonwealth,A-10,1.88,8.01,105.83,91.65
Stanford,Pac-12,4.91,4.73,113.91,100.23
Brigham Young,WCC,5.35,4.08,107.41,93.73
Virginia Tech,ACC,6.39,2.97,113.86,100.01
Vanderbilt,SEC,6.07,2.91,113.28,100.58
Dayton,A-10,-1.60,10.31,108.75,95.31
St. John's (NY),Big East,10.42,-1.78,108.08,96.10
Oral Roberts,Summit,9.32,-0.78,112.16,100.62
Santa Clara,WCC,7.78,0.76,109.68,98.02
Utah Valley,WAC,5.17,3.31,105.90,94.30
College of Charleston,CAA,7.90,0.50,107.74,96.51
Liberty,A-Sun,0.85,7.51,110.16,96.70
Wake Forest,ACC,8.56,-0.32,111.95,100.40
Drake,MVC,2.53,5.30,107.50,95.60
Yale,Ivy,2.05,5.76,107.79,96.19
Iona,MAAC,4.88,2.74,109.64,98.65
Kent State,MAC,2.15,5.39,104.78,94.37
Nevada-Las Vegas,MWC,5.68,1.52,106.96,96.93
Sam Houston,WAC,-2.47,9.61,104.40,93.82
Marshall,Sun Belt,9.50,-2.37,107.95,98.98
Nebraska,Big Ten,1.80,5.31,106.08,95.91
Washington,Pac-12,3.86,2.92,105.03,95.62
Bradley,MVC,-0.46,6.97,106.51,96.63
Saint Louis,A-10,6.56,-0.53,110.69,101.59
San Francisco,WCC,5.29,0.71,108.82,100.56
Butler,Big East,-2.58,8.43,102.80,95.12
Wichita State,AAC,1.05,4.73,105.38,97.19
Toledo,MAC,11.97,-6.21,117.19,109.20
Mississippi,SEC,0.80,4.93,105.82,97.99
Colorado State,MWC,4.41,1.24,111.41,103.44
Tulane,AAC,10.59,-5.13,108.18,100.57
Syracuse,ACC,4.63,0.76,108.95,101.57
San Jose State,MWC,-1.21,6.38,107.83,100.16
Loyola Marymount,WCC,3.71,1.27,108.23,100.86
Hofstra,CAA,3.52,1.44,107.78,100.16
James Madison,Sun Belt,5.80,-0.84,105.25,98.99
Furman,Southern,6.90,-2.02,111.77,104.81
Indiana State,MVC,6.84,-1.98,108.23,101.49
Princeton,Ivy,2.98,1.78,107.23,100.60
Temple,AAC,1.75,2.93,105.53,98.62
Grand Canyon,WAC,2.18,2.25,109.20,103.11
Louisiana,Sun Belt,5.12,-0.85,109.33,102.89
Akron,MAC,0.99,3.21,107.23,101.11
UC Irvine,Big West,3.20,0.96,104.97,99.04
Charlotte,CUSA,-4.40,8.30,108.27,102.11
South Alabama,Sun Belt,-0.59,4.16,105.86,99.93
Duquesne,A-10,3.23,0.25,106.87,101.60
Southern Utah,WAC,8.94,-5.55,107.19,102.48
Louisiana State,SEC,0.01,3.31,105.88,101.73
Southern Mississippi,Sun Belt,1.66,1.65,104.19,99.29
UC Santa Barbara,Big West,0.17,3.14,108.11,103.27
Middle Tennessee,CUSA,0.29,2.66,104.44,99.97
DePaul,Big East,4.63,-1.72,106.06,101.64
Fresno State,MWC,-4.30,6.90,102.11,98.71
Hawaii,Big West,-4.63,6.99,100.21,96.45
Fordham,A-10,1.17,1.09,101.29,98.20
Colgate,Patriot,4.88,-2.67,110.61,107.27
Montana State,Big Sky,-1.90,4.07,102.17,98.77
Notre Dame,ACC,0.64,1.45,108.66,105.79
Georgia Tech,ACC,-0.38,2.47,103.34,101.07
Wyoming,MWC,0.62,1.41,106.69,104.22
Air Force,MWC,-2.88,4.88,105.60,102.93
Davidson,A-10,0.02,1.97,105.97,103.07
South Florida,AAC,1.64,0.30,104.64,101.56
Belmont,MVC,4.99,-3.12,108.61,105.81
Georgia,SEC,0.36,1.44,103.05,100.42
Cal State Fullerton,Big West,-1.78,3.51,101.66,99.03
George Mason,A-10,-2.48,4.20,101.31,98.76
Portland,WCC,6.28,-4.60,108.66,106.43
Youngstown State,Horizon,6.45,-4.78,110.10,107.91
UNC Greensboro,Southern,-3.66,5.32,99.76,97.23
Vermont,AEC,-0.81,2.43,106.75,103.83
Eastern Washington,Big Sky,4.05,-2.58,107.98,105.72
Richmond,A-10,-2.07,3.50,103.20,100.89
Troy,Sun Belt,0.02,1.37,101.47,99.74
Southern Illinois,MVC,-6.73,7.88,99.98,98.00
Boston College,ACC,-1.80,2.89,101.85,100.50
Ohio,MAC,3.89,-2.82,107.98,106.42
Seattle,WAC,-0.85,1.76,99.81,98.42
Pennsylvania,Ivy,3.04,-2.18,106.39,104.79
Stephen F. Austin,WAC,2.70,-1.98,103.23,101.75
UC Riverside,Big West,1.15,-0.43,103.94,103.04
Cornell,Ivy,8.57,-7.94,109.12,108.68
Massachusetts-Lowell,AEC,2.23,-1.60,104.64,103.84
Kennesaw State,A-Sun,1.06,-0.46,101.95,101.23
Samford,Southern,3.48,-2.98,106.27,105.45
Missouri State,MVC,-5.58,5.94,102.23,101.88
Towson,CAA,-1.25,1.49,104.94,104.06
California Baptist,WAC,-4.74,4.95,101.16,100.70
Louisiana Tech,CUSA,0.68,-0.58,103.51,103.50
Oregon State,Pac-12,-6.44,6.52,99.92,100.57
Pepperdine,WCC,6.47,-6.59,103.84,103.68
Southern Methodist,AAC,1.91,-2.03,101.69,101.54
Utah Tech,WAC,2.73,-2.89,105.55,105.85
East Carolina,AAC,-1.83,1.54,101.10,101.39
