school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Connecticut,Big East,12.04,14.67,127.65,89.05
Houston,Big 12,6.19,19.50,120.40,81.96
Purdue,Big Ten,14.65,10.29,126.62,91.31
Arizona,Pac-12,18.59,5.95,122.12,89.17
Auburn,SEC,13.48,8.98,121.57,90.09
Iowa State,Big 12,7.34,14.96,116.88,84.75
Tennessee,SEC,9.93,11.88,117.86,87.09
North Carolina,ACC,14.07,7.29,120.54,90.49
Alabama,SEC,21.71,-1.02,126.91,98.07
Duke,ACC,10.40,10.27,122.91,92.47
Creighton,Big East,12.41,7.66,122.98,94.05
Illinois,Big Ten,16.22,3.34,124.46,96.86
Baylor,Big 12,12.88,6.62,125.34,97.03
Brigham Young,Big 12,13.05,6.28,121.51,94.14
Marquette,Big East,11.10,8.16,119.62,92.61
Gonzaga,WCC,12.87,5.06,122.62,97.22
Michigan State,Big Ten,4.42,13.30,115.32,90.23
Kentucky,SEC,19.16,-2.37,122.17,99.28
St. John's (NY),Big East,11.01,5.47,118.80,95.19
Kansas,Big 12,8.37,7.99,115.37,92.19
Saint Mary's (CA),WCC,1.55,14.77,115.39,90.41
Clemson,ACC,8.11,8.10,118.69,95.62
Wisconsin,Big Ten,7.97,8.05,120.15,96.34
Colorado,Pac-12,10.09,5.86,118.90,96.38
Texas,Big 12,7.62,8.28,116.41,93.36
Florida,SEC,16.32,-1.15,119.81,98.89
Cincinnati,Big 12,6.22,8.84,113.74,92.30
New Mexico,MWC,11.78,3.26,113.90,93.19
Utah,Pac-12,10.40,4.60,115.69,94.62
Texas Tech,Big 12,7.52,7.44,118.26,96.41
Wake Forest,ACC,10.05,4.89,118.30,96.80
Pittsburgh,ACC,5.90,8.99,116.68,95.64
San Diego State,MWC,4.78,9.90,113.41,92.17
Oklahoma,Big 12,6.80,7.86,116.21,95.43
TCU,Big 12,10.56,4.06,114.88,94.91
Villanova,Big East,2.29,12.15,112.93,91.72
Nebraska,Big Ten,9.11,5.24,115.91,95.53
Mississippi State,SEC,4.65,9.54,112.76,92.94
Washington State,Pac-12,3.38,10.63,114.40,94.35
Ohio State,Big Ten,6.30,7.35,115.86,96.61
Dayton,A-10,4.96,8.49,118.29,98.15
Indiana State,MVC,13.21,0.23,119.38,100.75
