school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Gonzaga,WCC,18.57,9.22,125.22,86.27
Duke,ACC,17.48,9.41,121.54,84.16
Virginia,ACC,5.08,20.38,124.73,85.12
Michigan State,Big Ten,12.94,11.99,122.55,86.17
North Carolina,ACC,19.81,4.12,120.64,88.24
Texas Tech,Big 12,5.95,16.84,115.44,81.30
Michigan,Big Ten,4.23,17.60,115.33,82.49
Tennessee,SEC,14.69,6.86,123.14,92.14
Kentucky,SEC,8.31,13.12,119.35,87.30
Purdue,Big Ten,12.29,9.11,123.61,91.72
Auburn,SEC,13.12,7.72,121.33,91.64
Virginia Tech,ACC,6.50,12.79,119.72,90.46
Houston,AAC,6.31,12.60,116.10,88.26
Kansas,Big 12,10.88,7.47,115.57,89.20
Iowa State,Big 12,10.50,7.57,119.63,93.06
Florida State,ACC,8.69,9.31,113.40,87.45
Wisconsin,Big Ten,2.77,15.13,112.42,85.73
Louisville,ACC,8.40,8.88,115.35,90.30
Louisiana State,SEC,13.87,2.63,118.04,94.11
Texas,Big 12,4.65,11.40,114.59,90.80
Maryland,Big Ten,5.58,10.43,114.24,90.84
Nevada,MWC,9.40,6.61,114.62,92.01
Mississippi State,SEC,10.03,5.93,117.66,94.21
Buffalo,MAC (East),14.35,1.22,114.89,93.68
Florida,SEC,0.81,14.61,111.92,89.12
Kansas State,Big 12,-1.44,16.82,108.91,85.76
Oklahoma,Big 12,6.90,8.40,111.39,89.86
NC State,ACC,12.54,2.40,114.59,94.04
Nebraska,Big Ten,6.65,8.20,114.67,93.59
Marquette,Big East,8.50,6.28,113.04,91.98
Cincinnati,AAC,2.64,11.90,113.40,91.64
Villanova,Big East,5.02,9.31,117.31,96.22
Iowa,Big Ten,12.59,1.67,119.12,98.29
Oregon,Pac-12,0.68,13.27,110.14,88.85
Wofford,Southern,7.67,6.26,118.28,97.04
Ohio State,Big Ten,2.84,11.04,110.68,90.57
Clemson,ACC,1.85,12.00,109.15,88.54
Indiana,Big Ten,5.08,8.74,110.48,90.68
TCU,Big 12,7.78,6.03,112.33,92.69
Syracuse,ACC,3.37,10.37,111.42,90.77
Baylor,Big 12,5.23,8.15,114.89,94.90
UCF,AAC,3.01,10.36,111.75,92.00
Saint Mary's (CA),WCC,2.16,10.42,115.23,95.57
Penn State,Big Ten,4.57,7.98,109.70,90.81
Minnesota,Big Ten,5.50,7.02,111.51,93.38
Mississippi,SEC,7.75,4.57,113.29,95.13
Washington,Pac-12,1.22,10.79,108.01,90.31
Creighton,Big East,8.81,3.19,113.91,96.60
Utah State,MWC,6.80,5.17,111.31,93.92
Virginia Commonwealth,A-10,1.16,10.80,104.02,86.24
Arkansas,SEC,8.19,3.56,110.55,93.72
Memphis,AAC,11.44,-0.74,109.91,94.69
Arizona State,Pac-12,8.06,2.22,109.51,94.53
Seton Hall,Big East,5.79,4.46,109.58,94.29
New Mexico State,WAC,3.91,6.14,113.05,97.79
Northwestern,Big Ten,-0.65,10.62,104.66,89.91
Colorado,Pac-12,3.14,6.54,107.49,93.55
Dayton,A-10,3.05,6.62,111.98,97.27
Xavier,Big East,3.46,6.15,112.30,98.11
Alabama,SEC,4.59,4.86,108.68,95.06
Miami (FL),ACC,4.10,5.29,110.67,97.16
Butler,Big East,3.96,5.25,112.20,98.60
Lipscomb,A-Sun,9.85,-0.64,110.63,97.16
Belmont,OVC,11.35,-2.23,114.76,101.40
Fresno State,MWC,4.12,4.86,109.80,96.55
Murray State,OVC,6.13,2.83,111.59,98.12
Illinois,Big Ten,7.87,1.08,110.49,97.52
Rutgers,Big Ten,1.90,6.99,106.13,93.06
Missouri,SEC,-0.42,9.02,107.58,94.57
San Francisco,WCC,4.35,4.21,111.99,98.83
South Carolina,SEC,5.56,2.77,106.94,94.47
Arizona,Pac-12,1.36,6.97,106.47,94.40
Providence,Big East,2.33,5.97,105.97,93.67
Southern California,Pac-12,7.48,0.75,110.26,98.16
Toledo,MAC (West),3.89,4.32,108.78,96.23
Temple,AAC,5.55,2.62,109.29,97.17
Oklahoma State,Big 12,2.63,5.46,109.61,98.35
Notre Dame,ACC,1.29,6.68,109.57,98.00
Pittsburgh,ACC,1.42,6.46,105.38,94.07
St. John's (NY),Big East,7.70,0.18,109.56,98.26
Oregon State,Pac-12,4.00,3.84,111.98,100.40
Wichita State,AAC,1.99,5.73,106.25,94.43
Furman,Southern,2.18,5.29,107.18,95.86
Texas A&M,SEC,2.33,4.89,107.36,96.65
UCLA,Pac-12,9.53,-2.36,109.80,99.12
West Virginia,Big 12,7.97,-1.03,110.07,99.40
Georgia Tech,ACC,-1.73,8.66,102.16,92.28
Connecticut,AAC,5.25,1.56,108.75,98.76
Georgetown,Big East,10.12,-3.32,108.96,99.42
Davidson,A-10,-0.23,6.61,108.24,98.29
Brigham Young,WCC,9.44,-3.29,111.07,101.58
Utah,Pac-12,6.54,-0.41,114.61,105.86
San Diego,WCC,1.44,4.68,106.47,97.07
Stanford,Pac-12,2.57,3.46,103.70,95.23
DePaul,Big East,8.11,-2.12,111.86,103.33
South Florida,AAC,0.11,5.85,102.33,93.21
South Dakota State,Summit,9.32,-3.40,111.93,103.54
Boston College,ACC,3.42,2.41,108.37,99.72
Southern Methodist,AAC,2.81,3.00,112.06,102.96
UC Irvine,Big West,-0.30,6.00,105.56,96.14
Yale,Ivy,7.97,-2.44,109.75,101.76
Georgia,SEC,2.73,2.58,105.77,98.25
San Diego State,MWC,-0.75,6.04,104.71,97.38
Liberty,A-Sun,-3.23,8.50,108.83,98.95
East Tennessee State,Southern,2.75,2.46,108.44,100.20
Saint Louis,A-10,-3.11,8.17,101.73,93.52
Vermont,AEC,-0.37,5.25,107.78,99.27
Akron,MAC (East),-4.44,9.30,99.36,92.16
Hofstra,CAA,8.65,-3.97,115.55,107.83
Northern Kentucky,Horizon,3.55,1.11,107.98,100.78
Tulsa,AAC,2.48,2.16,105.70,98.39
Bowling Green State,MAC (East),5.04,-0.80,106.67,100.33
UNC Greensboro,Southern,0.27,3.81,105.03,98.52
Loyola (IL),MVC,-5.41,9.41,104.63,98.04
Northeastern,CAA,2.73,1.22,109.98,103.60
Grand Canyon,WAC,1.95,1.89,105.71,99.76
Georgia Southern,Sun Belt,8.18,-4.44,107.57,101.65
Old Dominion,CUSA,-5.84,9.58,100.39,93.82
Boise State,MWC,0.74,2.88,107.82,101.76
Vanderbilt,SEC,0.03,3.53,103.20,98.60
Ball State,MAC (West),2.85,0.55,103.58,98.22
St. Bonaventure,A-10,-4.33,7.66,101.49,95.44
Wright State,Horizon,-1.01,4.30,106.16,100.77
Western Kentucky,CUSA,0.98,2.16,103.93,98.50
Utah Valley,WAC,2.89,0.11,107.10,102.23
Loyola Marymount,WCC,-6.45,9.38,102.93,98.29
Rhode Island,A-10,0.08,2.75,103.06,99.13
Central Michigan,MAC (West),8.12,-5.33,108.77,104.46
Northern Illinois,MAC (West),1.50,1.07,108.53,104.35
Southern Mississippi,CUSA,-2.13,4.70,105.47,100.75
Drake,MVC,3.85,-1.33,105.19,101.01
Georgia State,Sun Belt,3.57,-1.13,106.08,101.81
College of Charleston,CAA,-0.61,2.97,107.41,102.77
Pennsylvania,Ivy,-0.73,2.77,102.17,98.73
Harvard,Ivy,-0.35,2.21,103.69,100.35
Jacksonville State,OVC,-0.16,1.76,102.60,99.27
Nevada-Las Vegas,MWC,1.99,-0.41,105.65,102.44
Texas State,Sun Belt,-4.80,6.34,101.26,97.97
Montana,Big Sky,0.45,1.05,105.67,102.92
Southern Illinois,MVC,-2.61,4.00,103.02,100.50
Radford,Big South,-1.10,2.38,107.38,104.64
Kent State,MAC (East),3.03,-1.77,108.09,105.88
Colgate,Patriot,1.82,-0.59,107.51,105.18
Wake Forest,ACC,0.76,0.45,104.62,102.37
Louisiana Tech,CUSA,-1.77,2.72,103.50,101.31
Pepperdine,WCC,4.75,-3.85,106.20,104.23
George Mason,A-10,0.22,0.62,103.63,101.50
Louisiana-Monroe,Sun Belt,4.03,-3.22,111.07,108.78
Miami (OH),MAC (East),-1.56,2.34,104.12,102.55
