school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Kentucky,SEC,11.55,17.18,120.88,76.96
Duke,ACC,17.28,7.69,126.08,87.56
Wisconsin,Big Ten,10.53,14.08,128.27,88.95
Arizona,Pac-12,13.24,11.09,119.26,82.75
Villanova,Big East,12.87,10.26,121.09,85.70
Virginia,ACC,2.12,19.60,116.26,80.17
Gonzaga,WCC,13.08,8.04,120.54,88.44
Utah,Pac-12,6.09,14.89,117.26,84.60
North Carolina,ACC,17.10,3.54,118.88,88.37
Ohio State,Big Ten,11.93,7.76,117.43,88.45
Notre Dame,ACC,14.99,4.24,125.66,96.07
Oklahoma,Big 12,9.42,9.23,111.92,83.84
Kansas,Big 12,11.13,7.34,115.49,87.31
Louisville,ACC,6.40,11.73,110.57,83.29
Iowa State,Big 12,15.84,2.10,118.66,91.79
Baylor,Big 12,6.46,11.39,115.65,87.94
Michigan State,Big Ten,9.54,7.92,115.91,88.82
Butler,Big East,5.06,11.58,109.88,84.32
Texas,Big 12,5.33,10.83,111.91,86.80
Iowa,Big Ten,7.02,8.81,113.19,89.04
Wichita State,MVC,5.57,9.99,113.70,88.27
Georgetown,Big East,8.11,7.37,113.55,89.51
Xavier,Big East,11.02,4.40,116.69,92.93
West Virginia,Big 12,10.53,4.59,111.97,89.32
NC State,ACC,8.30,5.80,114.41,92.84
Arkansas,SEC,13.97,0.10,113.92,93.37
Providence,Big East,7.44,6.27,111.12,90.20
Brigham Young,WCC,18.11,-4.57,117.88,97.50
Maryland,Big Ten,5.42,7.90,111.15,90.57
Florida,SEC,1.31,11.96,108.34,86.67
Oklahoma State,Big 12,5.43,7.52,110.98,90.93
Indiana,Big Ten,14.40,-1.47,119.87,100.05
Southern Methodist,AAC,4.59,8.35,112.10,91.14
Purdue,Big Ten,6.22,6.71,109.94,89.94
Virginia Commonwealth,A-10,9.10,3.69,110.36,90.71
Northern Iowa,MVC,0.88,11.66,114.08,91.53
Georgia,SEC,5.49,6.93,108.71,89.39
Illinois,Big Ten,6.10,6.32,109.96,91.66
Minnesota,Big Ten,10.46,1.88,112.05,93.64
