school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Gonzaga,WCC,12.79,12.47,119.23,82.51
North Carolina,ACC,16.92,7.91,122.33,86.92
West Virginia,Big 12,14.63,9.83,118.49,84.37
Kentucky,SEC,16.92,6.96,120.28,86.87
Villanova,Big East,9.20,14.61,123.50,87.45
Kansas,Big 12,16.58,6.95,123.67,89.65
Louisville,ACC,10.35,12.13,118.44,85.52
Florida,SEC,11.36,11.04,117.61,85.10
Duke,ACC,13.15,8.41,122.70,91.17
Wichita State,MVC,10.67,10.57,117.30,86.44
Oregon,Pac-12,9.52,11.29,118.40,88.20
UCLA,Pac-12,20.52,0.15,124.63,95.78
Virginia,ACC,-1.49,22.12,114.37,81.99
Iowa State,Big 12,12.54,7.97,119.92,90.84
Purdue,Big Ten,11.54,8.59,118.48,88.85
Baylor,Big 12,4.89,14.86,117.81,87.95
Wisconsin,Big Ten,3.85,15.56,116.38,86.58
Oklahoma State,Big 12,19.23,-0.04,125.05,97.65
Florida State,ACC,13.22,5.65,117.54,90.36
Michigan,Big Ten,7.68,11.13,123.68,94.53
Southern Methodist,AAC,5.83,12.88,120.93,90.91
Cincinnati,AAC,4.50,13.94,116.04,88.07
Arizona,Pac-12,7.47,10.79,118.07,90.77
Notre Dame,ACC,10.00,7.81,119.69,93.01
Butler,Big East,8.45,9.25,119.19,92.47
South Carolina,SEC,5.20,12.32,109.79,83.76
Creighton,Big East,12.76,4.51,116.88,91.79
Saint Mary's (CA),WCC,1.09,15.66,119.63,91.48
TCU,Big 12,7.12,8.52,116.16,92.98
Marquette,Big East,14.48,0.78,122.04,99.18
Kansas State,Big 12,4.38,10.42,114.30,91.81
Xavier,Big East,7.60,7.20,115.94,93.35
Indiana,Big Ten,11.23,3.39,117.34,96.09
Minnesota,Big Ten,7.61,6.95,109.07,87.65
Miami (FL),ACC,0.43,14.05,110.75,89.05
Wake Forest,ACC,14.95,-0.76,120.96,100.01
Texas Tech,Big 12,3.31,10.80,115.27,93.60
Arkansas,SEC,10.56,3.48,116.19,95.76
Northwestern,Big Ten,2.90,11.12,111.60,90.43
Syracuse,ACC,8.33,5.37,117.39,96.51
Vanderbilt,SEC,3.95,9.75,113.82,92.70
Michigan State,Big Ten,4.20,9.47,113.33,92.34
Clemson,ACC,6.64,6.58,115.83,95.51
Dayton,A-10,5.80,7.18,111.80,92.02
Rhode Island,A-10,3.78,9.10,111.77,91.83
Maryland,Big Ten,5.84,6.95,113.29,93.65
Virginia Tech,ACC,10.14,2.63,117.40,98.49
Utah,Pac-12,7.80,4.66,114.36,95.51
Houston,AAC,4.35,7.84,114.46,95.06
Seton Hall,Big East,4.83,7.28,110.37,92.15
Virginia Commonwealth,A-10,5.67,5.90,109.80,91.91
Southern California,Pac-12,8.07,3.41,114.63,96.98
Oklahoma,Big 12,6.56,4.86,108.25,91.41
Alabama,SEC,-0.99,12.28,105.39,88.25
Tennessee,SEC,6.45,4.83,110.71,93.31
Providence,Big East,1.51,9.73,108.83,91.63
Georgetown,Big East,5.47,5.71,110.07,92.94
Georgia,SEC,2.82,8.31,108.73,91.96
California,Pac-12,-0.42,11.53,105.35,88.19
Texas,Big 12,0.36,10.63,105.21,88.78
Illinois,Big Ten,1.53,9.01,108.95,92.69
Nevada,MWC,8.93,1.56,113.89,98.08
Texas A&M,SEC,0.05,10.30,108.52,92.68
Ohio State,Big Ten,4.91,5.41,111.73,95.59
Illinois State,MVC,-1.46,11.76,106.79,89.94
Iowa,Big Ten,11.68,-1.67,113.29,98.21
Middle Tennessee,CUSA,0.50,9.30,111.43,95.30
Mississippi,SEC,9.14,0.51,110.83,96.22
UCF,AAC,-2.13,11.71,104.66,89.29
Pittsburgh,ACC,4.98,4.26,113.86,99.92
Colorado,Pac-12,6.04,3.08,112.22,97.62
Brigham Young,WCC,11.12,-2.90,107.61,95.64
Auburn,SEC,11.88,-3.71,111.05,98.51
UNC Wilmington,CAA,10.95,-2.89,116.75,103.88
Penn State,Big Ten,4.53,3.37,104.89,92.49
Georgia Tech,ACC,-2.58,10.41,101.01,88.85
East Tennessee State,Southern,4.41,2.91,106.66,95.47
Connecticut,AAC,-1.61,8.84,105.56,93.53
Mississippi State,SEC,2.89,4.23,107.40,95.89
San Diego State,MWC,-3.94,10.82,103.55,92.18
Vermont,AEC,-0.77,7.44,109.54,97.21
Princeton,Ivy,-3.08,9.65,108.58,95.69
Memphis,AAC,3.66,2.81,107.85,97.57
Nebraska,Big Ten,2.24,4.23,105.69,95.24
Davidson,A-10,3.56,2.88,108.31,98.04
St. John's (NY),Big East,8.75,-2.30,109.60,98.42
Stanford,Pac-12,1.00,5.39,104.69,94.35
NC State,ACC,9.14,-3.05,111.92,102.33
Colorado State,MWC,0.75,5.28,108.07,97.68
St. Bonaventure,A-10,4.49,1.46,108.03,98.14
UT Arlington,Sun Belt,5.42,0.50,108.37,98.94
Bucknell,Patriot,4.04,1.85,107.33,98.12
Boise State,MWC,4.06,1.47,107.69,98.66
Richmond,A-10,4.16,1.28,109.83,100.38
Louisiana Tech,CUSA,2.39,2.81,106.91,98.19
Loyola (IL),MVC,1.07,4.08,108.25,98.95
Monmouth,MAAC,6.61,-1.66,106.12,98.15
Temple,AAC,2.72,2.12,107.77,99.33
New Mexico State,WAC,2.84,1.83,109.00,100.52
Fresno State,MWC,1.53,2.84,104.30,96.69
Belmont,OVC (East),3.09,1.19,109.48,101.90
Oakland,Horizon,3.79,0.43,103.39,96.62
Arizona State,Pac-12,8.35,-4.33,111.59,104.94
College of Charleston,CAA,-4.19,8.18,103.77,96.13
Valparaiso,Horizon,-0.06,3.99,104.83,97.78
