school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Gonzaga,WCC,19.65,5.82,122.00,87.05
Arizona,Pac-12,17.87,4.88,119.64,88.31
Houston,AAC,7.94,14.60,118.72,84.89
Kansas,Big 12,15.30,6.98,121.11,89.14
Baylor,Big 12,12.12,9.61,119.06,87.25
Kentucky,SEC,13.50,7.40,120.81,91.08
Tennessee,SEC,8.22,12.24,114.15,84.02
Texas Tech,Big 12,6.76,13.32,113.09,83.50
Duke,ACC,13.21,6.34,121.25,92.73
Villanova,Big East,5.86,13.45,119.23,89.91
UCLA,Pac-12,9.42,9.88,117.30,88.92
Auburn,SEC,12.12,7.09,113.67,86.39
Purdue,Big Ten,13.35,5.79,122.65,94.56
Iowa,Big Ten,16.62,2.28,122.09,95.27
Louisiana State,SEC,6.03,11.42,109.00,84.25
Texas,Big 12,3.55,13.47,113.56,87.38
Illinois,Big Ten,8.78,7.91,114.99,90.38
Connecticut,Big East,8.28,8.12,115.28,91.83
Arkansas,SEC,10.10,6.17,111.06,87.82
North Carolina,ACC,12.35,3.15,114.93,92.16
Saint Mary's (CA),WCC,1.54,13.28,110.94,88.99
Memphis,AAC,9.28,5.40,112.07,91.09
Alabama,SEC,14.77,-0.15,116.63,95.49
Virginia Tech,ACC,4.29,10.19,115.65,93.66
Michigan,Big Ten,7.43,6.83,115.09,94.38
Ohio State,Big Ten,7.97,6.20,117.03,95.82
Oklahoma,Big 12,4.72,9.40,112.10,91.59
San Francisco,WCC,8.30,5.82,111.45,91.31
TCU,Big 12,3.64,10.08,110.14,89.79
Loyola (IL),MVC,3.45,9.95,111.00,90.37
Oklahoma State,Big 12,4.03,9.25,105.33,85.99
Wake Forest,ACC,10.28,2.96,111.64,92.95
Xavier,Big East,8.87,4.36,112.32,93.39
Michigan State,Big Ten,7.09,6.09,112.29,93.25
San Diego State,MWC,-0.56,13.69,103.59,83.85
Wisconsin,Big Ten,4.44,8.70,110.35,90.75
Providence,Big East,5.62,7.46,111.44,92.18
Texas A&M,SEC,4.92,8.02,109.65,90.72
Seton Hall,Big East,4.69,8.06,108.59,90.30
Indiana,Big Ten,4.50,8.21,108.38,89.54
Washington State,Pac-12,3.84,8.73,109.15,90.76
Southern California,Pac-12,5.39,7.11,110.83,92.82
Iowa State,Big 12,0.63,11.75,104.86,86.28
St. John's (NY),Big East,13.32,-1.37,111.48,94.64
Boise State,MWC,1.59,10.34,109.07,91.23
Florida,SEC,4.62,7.31,110.93,93.69
Notre Dame,ACC,5.83,6.04,113.26,95.32
Mississippi State,SEC,4.55,7.28,111.24,93.49
Colorado State,MWC,6.26,5.25,114.92,97.57
Marquette,Big East,9.13,2.23,109.55,92.81
Creighton,Big East,3.22,8.12,106.69,90.43
Miami (FL),ACC,8.18,3.04,114.20,97.75
Southern Methodist,AAC,6.22,4.92,109.42,93.13
Vanderbilt,SEC,4.36,6.64,108.12,92.00
UAB,CUSA (West),9.18,1.72,111.99,96.36
Kansas State,Big 12,4.35,6.26,109.76,93.90
Davidson,A-10,6.16,4.27,116.55,100.50
Dayton,A-10,0.19,10.22,110.24,93.66
Utah State,MWC,5.89,4.52,110.60,95.06
West Virginia,Big 12,4.72,5.51,108.98,93.71
Syracuse,ACC,11.19,-1.06,115.31,100.68
Brigham Young,WCC,6.18,3.87,110.03,94.64
Oregon,Pac-12,6.75,3.30,111.17,96.80
Murray State,OVC,4.29,5.57,110.35,95.14
Saint Louis,A-10,6.25,3.59,109.61,94.94
Virginia Commonwealth,A-10,0.10,9.73,101.20,86.96
Colorado,Pac-12,3.93,5.89,107.47,93.44
Clemson,ACC,4.99,4.60,111.51,97.12
Wyoming,MWC,4.09,5.27,109.67,95.24
Maryland,Big Ten,5.08,4.26,110.33,96.52
North Texas,CUSA (West),-6.02,15.00,106.02,90.85
Santa Clara,WCC,10.50,-1.52,111.48,98.54
Northwestern,Big Ten,5.10,3.81,107.41,94.26
Virginia,ACC,-4.50,13.38,108.11,94.23
Rutgers,Big Ten,1.48,7.29,107.31,94.04
Penn State,Big Ten,-2.01,10.72,107.40,94.35
Fresno State,MWC,-2.72,11.08,106.53,93.10
Missouri State,MVC,6.59,1.70,112.58,99.89
St. Bonaventure,A-10,3.00,5.28,109.59,96.87
Wichita State,AAC,2.31,5.80,104.66,92.44
DePaul,Big East,6.10,1.73,108.36,97.84
Vermont,AEC,2.72,5.09,111.14,98.44
Arizona State,Pac-12,0.49,7.16,101.43,90.32
Cincinnati,AAC,2.10,5.34,105.60,94.71
Drake,MVC,4.27,3.06,109.77,98.28
