school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Villanova,Big East,17.80,8.84,127.92,89.79
Duke,ACC,16.41,8.02,123.93,88.60
Purdue,Big Ten,12.91,10.50,123.33,89.60
Michigan State,Big Ten,10.72,11.69,121.35,88.55
Virginia,ACC,-1.75,23.95,115.92,80.94
Kansas,Big 12,13.58,7.81,122.39,91.96
Cincinnati,AAC,3.05,17.20,113.38,82.87
North Carolina,ACC,15.41,4.66,119.93,91.40
West Virginia,Big 12,12.47,7.42,119.29,91.07
Texas Tech,Big 12,5.29,14.09,113.74,85.68
Xavier,Big East,15.18,3.88,121.03,94.08
Michigan,Big Ten,4.22,14.81,114.94,86.75
Gonzaga,WCC,12.40,6.04,118.31,91.42
Tennessee,SEC,5.78,12.42,115.38,88.25
Ohio State,Big Ten,7.67,10.00,116.79,90.38
Kentucky,SEC,9.26,7.98,116.16,91.12
Clemson,ACC,4.91,12.25,113.61,88.21
Butler,Big East,9.68,7.24,116.31,91.85
Florida,SEC,8.15,8.52,115.62,91.51
Wichita State,AAC,12.81,3.77,119.96,96.32
TCU,Big 12,13.36,3.02,120.04,96.55
Creighton,Big East,12.82,3.53,117.37,94.26
Houston,AAC,7.34,8.65,114.31,90.59
Auburn,SEC,12.84,3.13,115.61,93.00
Penn State,Big Ten,6.18,9.67,114.07,90.16
Florida State,ACC,12.00,3.78,114.82,92.47
Arizona,Pac-12,10.25,5.42,119.31,96.27
Seton Hall,Big East,10.68,4.99,116.65,94.04
Texas A&M,SEC,6.36,8.95,111.39,89.51
Arkansas,SEC,11.86,2.91,117.25,96.60
Baylor,Big 12,4.84,9.75,112.30,91.36
Nevada,MWC,12.64,1.80,119.02,97.88
Arizona State,Pac-12,13.80,0.56,117.43,97.37
Virginia Tech,ACC,10.46,3.89,116.67,95.92
Louisville,ACC,7.92,6.37,113.05,91.91
Texas,Big 12,3.68,10.28,110.26,90.00
Missouri,SEC,4.10,9.71,112.73,92.50
Oklahoma,Big 12,17.15,-3.34,115.96,96.70
Maryland,Big Ten,5.37,8.41,114.10,93.62
Notre Dame,ACC,5.61,8.02,115.49,95.21
NC State,ACC,12.67,0.24,115.98,97.53
Syracuse,ACC,-2.38,15.26,107.08,87.58
Saint Mary's (CA),WCC,5.46,7.40,119.45,98.87
Kansas State,Big 12,1.46,11.38,110.73,91.61
Miami (FL),ACC,4.56,8.27,111.55,92.38
Southern California,Pac-12,7.62,5.20,114.82,95.98
Marquette,Big East,12.51,-0.01,119.09,100.52
Oklahoma State,Big 12,6.55,5.90,111.54,93.53
Alabama,SEC,4.15,8.19,109.43,91.63
San Diego State,MWC,4.84,7.39,110.60,92.77
UCLA,Pac-12,11.87,0.20,115.52,97.74
Rhode Island,A-10,4.97,6.84,111.11,93.46
Mississippi State,SEC,3.79,7.92,110.26,93.02
Utah,Pac-12,2.78,8.62,111.44,94.54
Boise State,MWC,5.21,6.00,108.94,92.79
Providence,Big East,3.47,7.65,108.90,92.55
Western Kentucky,CUSA,7.12,3.96,113.76,97.02
Davidson,A-10,5.42,5.61,118.15,100.16
Nebraska,Big Ten,3.69,7.30,111.00,94.18
Louisiana State,SEC,8.35,2.59,116.12,99.70
Oregon,Pac-12,5.70,5.00,111.67,96.31
Wisconsin,Big Ten,-1.36,11.74,110.78,94.61
Loyola (IL),MVC,0.65,9.72,110.59,93.84
Middle Tennessee,CUSA,2.37,7.93,110.20,94.23
