school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Dartmouth,Ivy,-7.62,3.45,94.26,98.91
Miami (OH),MAC (East),-2.50,-1.67,100.65,105.05
American,Patriot,-1.79,-2.57,98.51,103.10
Brown,Ivy,-4.29,-0.16,93.87,99.31
Monmouth,MAAC,0.56,-5.07,96.19,101.22
Louisiana,Sun Belt,1.96,-6.57,99.37,104.42
Northern Arizona,Big Sky,-2.69,-1.96,100.79,106.20
UC Davis,Big West,0.25,-4.95,102.29,107.45
Robert Morris,NEC,-5.18,0.45,98.28,103.28
Sacred Heart,NEC,-1.54,-3.21,98.44,103.83
Green Bay,Horizon,7.80,-12.60,103.77,108.63
Montana State,Big Sky,-6.21,1.21,94.90,100.20
Eastern Illinois,OVC,-2.55,-2.53,96.34,102.25
Omaha,Summit,0.86,-5.94,100.86,106.05
Sam Houston,Southland,0.69,-5.86,97.65,102.98
Drexel,CAA,-3.08,-2.31,98.37,105.06
Western Michigan,MAC (West),-2.69,-2.74,98.40,104.66
Saint Joseph's,A-10,2.29,-7.83,100.27,106.34
Gardner-Webb,Big South,-2.45,-3.11,98.31,104.64
Youngstown State,Horizon,-2.46,-3.10,99.58,105.68
Lafayette,Patriot,-4.52,-1.39,97.76,104.86
Oakland,Horizon,-5.69,-0.23,95.80,102.57
Kansas City,WAC,-6.62,0.55,94.98,101.64
Iona,MAAC,-1.05,-5.18,99.16,106.09
North Dakota,Summit,-0.73,-5.52,100.09,107.23
Prairie View,SWAC,-3.56,-2.70,94.37,101.07
Grand Canyon,WAC,-0.24,-6.08,102.30,109.85
Cal State Northridge,Big West,3.68,-10.05,104.59,111.34
Jacksonville,A-Sun,-6.75,0.25,92.40,100.40
Louisiana-Monroe,Sun Belt,-8.52,2.02,94.25,102.25
Portland,WCC,-4.49,-2.05,94.08,101.51
Southern Mississippi,CUSA,-6.55,-0.10,93.92,102.07
Bryant,NEC,-2.89,-3.81,94.58,102.39
Tennessee State,OVC,-3.09,-3.61,95.62,103.65
Cal State Fullerton,Big West,-3.10,-3.69,93.86,101.79
Hartford,AEC,-7.06,0.26,91.88,100.44
VMI,Southern,-2.01,-4.91,97.02,105.17
Merrimack,NEC,-12.04,5.12,90.96,99.00
Evansville,MVC,-3.11,-3.93,96.20,105.47
Texas-Rio Grande Valley,WAC,-1.42,-5.63,96.23,104.34
Lipscomb,A-Sun,-1.98,-5.10,98.58,107.23
Cal State Bakersfield,WAC,-7.37,0.26,94.54,103.34
Milwaukee,Horizon,-2.42,-4.80,95.14,103.68
Lamar,Southland,-4.52,-2.73,94.02,101.87
Navy,Patriot,-9.44,2.08,94.81,104.08
Utah Valley,WAC,-3.20,-4.27,94.76,103.65
San Jose State,MWC,0.88,-8.43,95.96,104.19
Canisius,MAAC,-3.15,-4.45,94.73,104.51
New Hampshire,AEC,-5.57,-2.03,91.81,101.58
Quinnipiac,MAAC,-2.65,-5.01,98.40,107.93
Bucknell,Patriot,-4.81,-2.92,93.87,103.27
Norfolk State,MEAC,-8.36,0.60,91.66,101.41
Elon,CAA,-4.70,-3.11,98.05,107.71
Purdue Fort Wayne,Summit,-6.60,-1.27,93.49,103.07
Maryland-Baltimore County,AEC,-6.49,-1.59,95.29,105.18
Massachusetts-Lowell,AEC,2.93,-11.11,101.21,111.39
Jacksonville State,OVC,-5.67,-2.62,94.01,104.13
Weber State,Big Sky,-4.67,-3.64,96.59,107.79
Cornell,Ivy,-4.71,-3.67,98.80,110.02
Long Island University,NEC,0.82,-9.19,96.04,106.41
Middle Tennessee,CUSA,-1.93,-6.49,96.48,106.48
Manhattan,MAAC,-10.45,2.03,89.30,100.18
Campbell,Big South,-8.32,-0.19,94.47,104.79
Idaho State,Big Sky,-2.47,-6.15,98.79,110.01
Long Beach State,Big West,-2.91,-5.82,93.82,104.05
Albany (NY),AEC,-6.65,-2.14,92.78,104.09
North Alabama,A-Sun,-4.40,-4.60,93.14,104.27
Troy,Sun Belt,-4.06,-4.95,94.10,105.25
Army,Patriot,-3.05,-6.04,95.61,107.03
McNeese State,Southland,0.19,-9.30,101.28,112.12
Eastern Kentucky,OVC,-0.65,-8.52,93.46,104.34
James Madison,CAA,1.16,-10.39,97.99,109.85
UNC Wilmington,CAA,-7.04,-2.27,91.06,103.08
Southern,SWAC,-7.41,-1.95,94.08,105.52
Mount St. Mary's,NEC,-10.18,0.62,93.24,105.87
Loyola (MD),Patriot,-0.58,-9.01,97.04,109.03
Stetson,A-Sun,-9.69,0.07,95.14,107.44
Fairfield,MAAC,-13.78,4.13,87.59,100.58
North Carolina A&T,MEAC,-3.58,-6.09,89.30,101.83
Detroit Mercy,Horizon,-1.62,-8.25,97.75,109.79
FDU,NEC,-1.19,-8.76,99.33,112.34
Cal Poly,Big West,-3.90,-6.09,92.96,106.08
Northwestern State,Southland,-1.21,-8.78,94.45,106.13
North Carolina Central,MEAC,-8.74,-1.30,91.91,104.42
Denver,Summit,-3.32,-6.74,93.45,105.65
NJIT,A-Sun,-8.31,-1.84,91.64,104.60
Bethune-Cookman,MEAC,-1.82,-8.34,92.07,104.78
Columbia,Ivy,-5.06,-5.14,92.55,105.35
Florida Gulf Coast,A-Sun,-10.27,0.01,89.21,102.59
UNC Asheville,Big South,-0.86,-9.45,96.89,110.23
Texas Southern,SWAC,0.08,-10.45,94.85,106.69
Texas A&M-Corpus Christi,Southland,-10.51,-0.29,91.65,104.44
Jackson State,SWAC,-8.81,-2.10,89.73,102.74
Lehigh,Patriot,-5.31,-5.62,93.26,107.72
Morehead State,OVC,-6.79,-4.17,92.64,106.76
Niagara,MAAC,-5.34,-5.68,96.61,111.54
Cleveland State,Horizon,-9.04,-2.12,90.03,104.01
Central Arkansas,Southland,1.28,-12.54,94.96,107.36
St. Francis (NY),NEC,-5.23,-6.07,91.14,105.86
Maine,AEC,-10.13,-1.75,89.48,106.26
Hampton,Big South,2.61,-14.64,101.48,117.03
Idaho,Big Sky,-7.76,-4.31,90.61,106.74
Florida A&M,MEAC,-5.99,-6.18,90.43,105.64
Marist,MAAC,-12.22,0.00,87.52,103.94
Grambling,SWAC,-8.43,-3.96,90.62,106.12
Longwood,Big South,-8.54,-3.90,88.40,104.71
Morgan State,MEAC,-6.07,-6.76,89.41,105.57
Samford,Southern,0.59,-13.72,96.14,111.48
Charleston Southern,Big South,-8.08,-5.07,91.63,108.70
South Carolina Upstate,Big South,-6.36,-7.22,91.95,110.39
Tennessee Tech,OVC,-9.50,-4.14,89.72,107.87
The Citadel,Southern,-0.12,-13.70,93.65,110.82
New Orleans,Southland,-3.25,-10.83,95.96,113.31
Tennessee-Martin,OVC,1.32,-15.47,102.92,121.35
SIU Edwardsville,OVC,-7.83,-6.33,89.05,108.05
Western Illinois,Summit,-0.57,-13.71,95.94,114.09
Coppin State,MEAC,-5.87,-8.49,85.95,104.35
Southeast Missouri State,OVC,-7.57,-7.00,91.36,110.98
Alcorn State,SWAC,-4.16,-10.48,92.91,111.46
Wagner,NEC,-5.19,-9.59,94.93,113.79
IU Indy,Horizon,-1.37,-13.52,95.83,115.17
Binghamton,AEC,-3.98,-11.04,95.32,115.55
Presbyterian,Big South,-7.45,-7.61,93.26,114.10
South Carolina State,MEAC,-6.35,-9.67,93.25,114.67
Southeastern Louisiana,Southland,-5.44,-10.67,89.43,109.31
Alabama State,SWAC,-11.82,-4.33,84.59,105.67
High Point,Big South,-9.24,-7.06,91.85,113.94
Houston Christian,Southland,7.01,-24.43,99.85,120.01
Holy Cross,Patriot,-5.98,-12.09,92.40,116.49
Incarnate Word,Southland,-11.49,-7.08,88.13,112.45
Alabama A&M,SWAC,-12.64,-6.24,84.39,108.36
Central Connecticut State,NEC,-10.13,-10.20,85.62,112.66
Delaware State,MEAC,-1.78,-19.09,90.16,116.61
Arkansas-Pine Bluff,SWAC,-19.68,-1.97,76.52,105.76
Howard,MEAC,-5.46,-16.42,89.84,118.34
Maryland-Eastern Shore,MEAC,-16.75,-5.28,78.64,108.05
Kennesaw State,A-Sun,-15.58,-7.02,79.87,111.48
Chicago State,WAC,-13.05,-15.15,82.95,121.64
Mississippi Valley State,SWAC,-5.40,-23.68,83.39,117.94
