school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Tarleton State,WAC,-8.18,0.89,97.14,106.15
Western Carolina,Southern,0.91,-8.33,98.69,108.44
Niagara,MAAC,-7.52,-0.03,98.34,107.84
Milwaukee,Horizon,0.20,-7.91,99.84,110.07
Long Island University,NEC,-2.02,-5.74,92.46,103.40
Sacramento State,Big Sky,-3.32,-4.44,101.07,111.87
Bucknell,Patriot (Central),-0.69,-7.08,97.87,109.00
Longwood,Big South,-8.08,0.14,95.61,105.99
Arkansas State,Sun Belt (West),-4.24,-3.73,97.80,108.01
Prairie View,SWAC,-6.40,-1.62,93.37,102.77
New Hampshire,AEC,-6.21,-1.99,95.46,106.65
Idaho State,Big Sky,-11.35,2.96,91.33,102.65
Long Beach State,Big West,2.07,-10.56,96.71,106.48
Canisius,MAAC,-2.00,-6.61,97.15,108.34
Cal State Northridge,Big West,0.05,-8.74,100.01,110.94
Samford,Southern,-0.03,-8.90,94.56,105.68
Marist,MAAC,-10.32,1.34,89.82,102.03
Merrimack,NEC,-10.55,1.48,90.19,102.16
Quinnipiac,MAAC,-5.47,-3.63,89.83,101.91
Oakland,Horizon,1.28,-10.61,100.47,112.05
Florida Gulf Coast,A-Sun,-5.70,-3.94,90.83,103.49
Texas-Rio Grande Valley,WAC,-7.47,-2.16,88.61,101.24
NJIT,AEC,-5.19,-4.56,94.30,107.58
Youngstown State,Horizon,-2.96,-6.82,99.85,112.81
Towson,CAA,-4.82,-5.01,98.20,112.23
North Alabama,A-Sun,-4.27,-5.79,93.51,106.86
Green Bay,Horizon,-3.29,-6.86,98.56,111.80
FDU,NEC,1.14,-11.31,99.27,112.82
Southeast Missouri State,OVC,-4.78,-5.40,92.97,106.78
Georgia Southern,Sun Belt (East),-7.01,-3.21,91.69,105.67
St. Francis (NY),NEC,3.00,-13.22,99.83,113.00
Saint Francis (PA),NEC,-5.09,-5.21,93.40,107.44
North Dakota,Summit,-5.06,-5.29,94.78,108.45
Louisiana-Monroe,Sun Belt (West),-8.57,-2.03,92.04,106.34
High Point,Big South,-7.83,-2.96,94.17,108.77
Middle Tennessee,CUSA (East),-8.40,-2.38,89.89,103.87
New Orleans,Southland,-0.73,-10.18,94.72,108.65
Jacksonville,A-Sun,-7.80,-3.35,91.60,106.36
Florida International,CUSA (East),-2.04,-9.16,96.08,110.60
William & Mary,CAA,-6.53,-4.70,91.54,108.08
Jackson State,SWAC,-11.31,0.03,86.45,100.22
Fairfield,MAAC,-9.98,-1.48,93.18,109.15
North Florida,A-Sun,-4.27,-7.20,98.71,114.12
Western Michigan,MAC,-10.52,-0.99,91.13,106.66
IU Indy,Horizon,-4.19,-7.46,93.20,108.10
Fordham,A-10,-17.76,6.06,83.42,100.47
Illinois-Chicago,Horizon,-8.59,-3.48,90.41,106.31
Troy,Sun Belt (East),-9.71,-2.35,89.46,106.17
Purdue Fort Wayne,Horizon,-0.78,-11.37,97.78,114.54
Sacred Heart,NEC,-4.57,-7.62,95.87,113.11
Manhattan,MAAC,-9.65,-2.56,87.62,103.89
Binghamton,AEC,-5.77,-6.47,95.83,112.90
Rider,MAAC,-4.06,-8.18,97.84,114.57
Central Michigan,MAC,-0.31,-12.03,96.99,113.07
Florida A&M,MEAC (Southern),-11.23,-1.12,87.31,102.95
Coppin State,MEAC (Northern),-2.56,-9.81,88.34,103.63
New Mexico,MWC,-9.65,-2.73,89.04,106.05
Western Illinois,Summit,-2.84,-9.65,94.36,110.18
Portland,WCC,-1.13,-11.45,96.96,113.84
Eastern Illinois,OVC,-5.42,-7.29,92.45,109.67
Omaha,Summit,-4.80,-7.92,91.78,108.42
Lehigh,Patriot (Central),-7.34,-5.51,90.73,109.19
Northern Arizona,Big Sky,-8.80,-4.18,95.91,114.75
Air Force,MWC,-11.93,-1.05,94.01,113.37
Lamar,Southland,-8.24,-4.86,90.85,107.30
Robert Morris,Horizon,-3.83,-9.36,96.15,114.32
Northwestern State,Southland,-2.60,-10.88,94.61,111.41
Southern,SWAC,-6.71,-6.77,89.81,106.37
Hampton,Big South,-5.34,-8.33,92.52,111.29
Cal Poly,Big West,-11.64,-2.05,87.51,105.87
South Carolina Upstate,Big South,-6.54,-7.16,93.08,111.45
Presbyterian,Big South,-11.80,-2.16,89.07,108.42
Utah Tech,WAC,-4.94,-9.07,89.93,107.31
Tennessee State,OVC,-7.60,-6.50,87.61,106.40
Tennessee Tech,OVC,-6.46,-7.68,93.09,112.06
Kennesaw State,A-Sun,-10.33,-3.82,86.92,106.46
Eastern Michigan,MAC,-6.24,-7.99,94.38,113.44
Howard,MEAC (Northern),-0.45,-13.82,95.77,115.04
Grambling,SWAC,-8.50,-5.77,89.51,107.97
North Carolina A&T,MEAC (Southern),-4.77,-9.50,91.52,108.96
Central Arkansas,Southland,-2.95,-11.91,94.80,113.19
SIU Edwardsville,OVC,-9.18,-5.77,90.36,110.76
Central Connecticut State,NEC,-5.75,-9.38,91.01,111.18
Maine,AEC,-18.79,3.13,81.04,103.02
Incarnate Word,Southland,-10.94,-4.97,92.27,113.09
North Carolina Central,MEAC (Southern),-9.65,-6.35,90.65,112.41
Denver,Summit,-4.42,-11.98,92.04,114.22
Charleston Southern,Big South,-9.55,-7.17,87.00,109.48
Houston Christian,Southland,-3.79,-12.93,91.04,112.21
Texas A&M-Corpus Christi,Southland,-9.79,-6.97,87.60,109.56
Southeastern Louisiana,Southland,-8.55,-8.85,88.89,111.54
San Jose State,MWC,-3.91,-13.59,91.88,114.16
Northern Illinois,MAC,-11.69,-6.21,88.50,113.17
Idaho,Big Sky,-10.97,-7.35,88.00,114.15
McNeese State,Southland,-7.41,-10.93,93.03,117.00
Alabama A&M,SWAC,-14.77,-4.08,81.57,106.96
Tennessee-Martin,OVC,-9.78,-9.63,90.06,116.62
Alcorn State,SWAC,-8.86,-10.72,89.71,113.99
Arkansas-Pine Bluff,SWAC,-11.29,-11.39,87.03,117.28
Delaware State,MEAC (Northern),-5.59,-18.51,87.98,117.71
Alabama State,SWAC,-14.00,-10.28,80.97,112.40
South Carolina State,MEAC (Southern),-11.20,-13.70,82.73,116.07
Chicago State,WAC,-14.71,-17.11,80.28,122.60
Mississippi Valley State,SWAC,-16.51,-21.66,76.09,125.36
