school_name,conf_abbr,srs_off,srs_def,off_rtg,def_rtg
Gonzaga,WCC,23.21,3.99,126.59,89.03
Baylor,Big 12,15.41,9.42,124.98,89.29
Illinois,Big Ten,15.08,8.17,119.29,86.45
Michigan,Big Ten,9.74,12.25,118.69,86.42
Houston,AAC,7.82,13.84,119.73,86.92
Iowa,Big Ten,18.32,3.08,125.85,95.09
Southern California,Pac-12,9.40,11.10,116.39,86.42
Alabama,SEC,13.35,6.24,113.27,85.56
Colorado,Pac-12,7.71,11.17,117.17,89.37
Ohio State,Big Ten,12.15,6.10,120.91,94.24
Arkansas,SEC,12.42,5.38,112.93,88.13
Villanova,Big East,7.91,9.56,120.11,94.05
Wisconsin,Big Ten,4.38,12.83,113.23,87.60
Florida State,ACC,11.60,5.52,116.09,90.59
Tennessee,SEC,4.46,12.41,110.51,85.75
Texas Tech,Big 12,5.08,11.51,112.71,88.11
UCLA,Pac-12,8.06,8.24,117.22,93.15
Creighton,Big East,9.71,6.57,114.35,91.01
Oregon,Pac-12,8.61,7.54,117.21,93.57
Connecticut,Big East,5.79,9.98,113.49,90.66
Louisiana State,SEC,15.24,0.46,121.14,98.05
Purdue,Big Ten,6.15,9.40,114.59,91.26
Texas,Big 12,8.88,6.63,113.56,90.94
West Virginia,Big 12,11.72,3.64,116.57,93.99
Kansas,Big 12,6.16,9.13,111.87,89.25
Virginia,ACC,0.18,15.09,116.99,92.54
Brigham Young,WCC,8.13,7.06,113.61,91.20
Loyola (IL),MVC,1.22,13.90,112.23,87.76
Arizona,Pac-12,9.17,5.85,115.47,93.41
North Carolina,ACC,9.25,5.55,110.58,89.17
San Diego State,MWC,3.74,10.63,111.63,90.26
Rutgers,Big Ten,4.15,9.99,109.13,88.46
Maryland,Big Ten,3.95,9.99,114.32,93.34
Memphis,AAC,4.83,8.99,104.91,85.22
Florida,SEC,6.86,6.84,112.07,92.08
Colgate,Patriot (North),13.54,0.13,115.18,96.78
Oklahoma State,Big 12,10.14,3.51,109.16,89.40
Penn State,Big Ten,8.99,4.54,113.01,92.76
Oklahoma,Big 12,7.32,6.20,113.08,93.63
St. Bonaventure,A-10,1.77,11.67,111.34,90.39
Syracuse,ACC,8.59,4.68,113.44,93.67
Duke,ACC,9.34,3.70,115.25,94.48
Georgia Tech,ACC,8.79,4.00,115.03,95.48
Indiana,Big Ten,5.01,7.77,110.14,91.83
Virginia Tech,ACC,4.98,7.61,111.23,92.47
Clemson,ACC,-0.71,13.21,107.66,88.78
Missouri,SEC,7.12,5.25,111.49,93.51
Utah,Pac-12,6.69,5.17,112.81,95.33
Kentucky,SEC,4.50,7.27,108.33,90.95
Saint Louis,A-10,5.99,5.77,111.38,93.44
Oregon State,Pac-12,3.86,7.62,112.79,95.39
Virginia Commonwealth,A-10,3.66,7.64,105.50,88.40
Mississippi,SEC,-0.46,11.64,105.53,88.58
Seton Hall,Big East,5.14,5.98,110.51,94.04
Xavier,Big East,6.49,4.60,110.26,94.12
Minnesota,Big Ten,7.67,3.37,108.20,92.43
Utah State,MWC,2.35,8.65,105.31,89.04
Southern Methodist,AAC,7.17,3.80,110.85,94.99
Louisville,ACC,1.95,8.40,109.63,93.59
Stanford,Pac-12,4.16,5.99,105.94,91.17
Georgetown,Big East,5.71,4.42,107.70,92.63
Auburn,SEC,10.01,0.02,111.42,96.31
Michigan State,Big Ten,3.90,5.90,107.59,93.45
Boise State,MWC,5.77,3.97,109.25,95.08
Northwestern,Big Ten,3.49,6.22,106.18,92.22
NC State,ACC,5.34,4.26,110.63,95.99
Drake,MVC,5.19,4.23,112.70,98.03
St. John's (NY),Big East,12.44,-3.03,110.65,96.73
Wichita State,AAC,4.94,4.43,108.76,94.43
Mississippi State,SEC,2.12,7.13,108.11,94.15
Richmond,A-10,5.42,3.63,111.46,97.57
Davidson,A-10,2.48,6.54,114.06,100.29
Providence,Big East,3.55,5.38,107.79,94.62
Marquette,Big East,3.11,5.40,107.90,95.68
Washington State,Pac-12,1.14,6.98,102.49,90.37
Colorado State,MWC,4.26,3.80,108.14,96.03
Saint Mary's (CA),WCC,-5.42,13.48,102.42,89.97
Pittsburgh,ACC,4.52,3.28,108.93,97.20
UC Santa Barbara,Big West,1.58,6.22,108.90,95.68
Notre Dame,ACC,6.60,1.12,114.54,102.52
North Texas,CUSA (West),-2.12,9.70,106.50,94.80
Arizona State,Pac-12,9.37,-1.88,109.17,97.64
Wright State,Horizon,5.63,1.26,105.97,96.24
Louisiana Tech,CUSA (West),1.84,4.79,103.60,93.38
Georgia,SEC,9.63,-3.01,108.76,98.02
Toledo,MAC,8.40,-1.81,111.35,101.65
Buffalo,MAC,8.62,-2.12,105.98,96.97
Dayton,A-10,2.28,4.02,108.98,99.00
Abilene Christian,Southland,-0.28,6.56,101.23,91.93
Vanderbilt,SEC,4.64,1.50,109.24,99.46
Nebraska,Big Ten,3.35,2.73,101.95,91.84
San Francisco,WCC,2.31,3.69,105.66,96.57
Furman,Southern,4.80,1.19,109.77,100.74
UCF,AAC,1.89,4.04,107.58,97.98
UAB,CUSA (West),-0.87,6.67,103.13,94.09
Marshall,CUSA (East),8.90,-3.20,108.49,100.16
Pepperdine,WCC,7.82,-2.17,107.92,98.91
Loyola Marymount,WCC,0.93,4.61,107.72,98.43
Ohio,MAC,5.65,-0.18,109.43,101.46
Nevada,MWC,5.11,0.29,107.30,98.63
Rhode Island,A-10,3.36,1.93,103.36,95.24
Western Kentucky,CUSA (East),2.56,2.64,105.85,97.85
Missouri State,MVC,3.37,1.79,107.19,98.83
Grand Canyon,WAC,-1.81,6.92,105.16,95.94
California,Pac-12,-1.61,6.50,105.84,98.44
Massachusetts,A-10,7.63,-2.86,106.04,99.12
Butler,Big East,-2.34,7.09,103.46,96.59
Winthrop,Big South,6.28,-1.60,103.72,97.13
Tulsa,AAC,-2.39,6.58,102.81,95.97
UC Riverside,Big West,-0.99,5.11,103.12,95.53
Liberty,A-Sun,-1.06,5.12,109.15,101.02
Eastern Washington,Big Sky,7.29,-3.26,107.52,101.72
Cincinnati,AAC,2.85,1.15,103.52,96.81
UNC Greensboro,Southern,-0.62,4.10,102.12,96.16
Belmont,OVC,6.62,-3.16,108.76,103.49
UC Irvine,Big West,-2.53,6.00,99.30,92.58
South Carolina,SEC,7.13,-3.74,104.27,97.77
South Dakota State,Summit,8.20,-4.93,110.24,104.50
Miami (FL),ACC,-0.27,3.51,102.51,97.17
Weber State,Big Sky,6.55,-3.41,107.56,103.12
DePaul,Big East,-0.42,3.09,98.06,93.99
Pacific,WCC,-0.87,3.51,102.91,98.07
TCU,Big 12,-0.03,2.63,104.14,100.19
Temple,AAC,-0.70,3.27,102.04,97.37
Duquesne,A-10,-0.90,3.22,100.44,96.37
Texas A&M,SEC,-4.43,6.62,101.62,98.05
Indiana State,MVC,-2.47,4.51,101.95,97.89
Vermont,AEC,1.11,0.88,105.47,101.55
George Mason,A-10,0.20,1.71,100.41,97.11
Washington,Pac-12,3.05,-1.16,103.37,99.05
Akron,MAC,2.97,-1.12,105.94,102.62
Wofford,Southern,-0.26,2.02,105.08,101.61
Kent State,MAC,2.83,-1.09,103.70,100.70
Oral Roberts,Summit,7.09,-5.36,107.25,104.16
Wake Forest,ACC,-1.03,2.75,102.24,99.89
East Tennessee State,Southern,-2.90,4.54,102.61,99.41
Mercer,Southern,2.25,-0.97,105.50,103.13
UTEP,CUSA (West),-0.69,1.75,102.41,99.98
Tulane,AAC,-3.26,4.29,100.00,97.43
Navy,Patriot (South),-0.49,1.51,104.19,102.39
East Carolina,AAC,-2.25,3.25,98.70,96.19
Boston College,ACC,4.98,-4.16,105.07,102.47
Kansas State,Big 12,-4.68,5.44,100.12,98.64
Southern Utah,Big Sky,5.97,-5.34,107.19,105.69
Bradley,MVC,-2.22,2.54,102.40,101.12
Army,Patriot (North),-1.35,1.41,99.28,99.26
South Florida,AAC,-1.70,1.68,101.12,100.64
Santa Clara,WCC,-0.63,0.59,99.11,97.98
James Madison,CAA,4.35,-4.46,103.40,102.74
Cal State Bakersfield,Big West,-4.70,4.58,102.20,100.68
Bowling Green State,MAC,3.26,-3.43,103.02,102.84
VMI,Southern,5.06,-5.48,106.04,106.18
North Dakota State,Summit,-4.00,3.35,102.02,101.37
Iowa State,Big 12,-0.35,-0.37,100.48,100.25
Morehead State,OVC,-5.93,4.98,97.56,98.24
Drexel,CAA,-3.38,2.40,105.01,105.35
Maryland-Baltimore County,AEC,-3.07,2.02,99.68,100.13
Northeastern,CAA,-4.73,3.64,97.49,98.17
Old Dominion,CUSA (East),-2.45,1.35,100.62,101.05
Iona,MAAC,-2.81,1.61,99.00,100.01
New Mexico State,WAC,-4.04,2.84,104.31,104.84
UTSA,CUSA (West),5.04,-6.26,104.97,105.48
Wyoming,MWC,5.51,-6.74,107.34,108.91
South Dakota,Summit,2.51,-3.76,105.19,105.86
Bryant,NEC,6.05,-7.41,101.94,103.08
Nevada-Las Vegas,MWC,-2.15,0.68,102.84,104.04
Chattanooga,Southern,-2.03,0.49,101.22,102.60
Stephen F. Austin,Southland,1.88,-3.51,101.85,102.78
Georgia State,Sun Belt (East),4.58,-6.29,103.57,105.05
Northern Iowa,MVC,0.82,-2.56,102.07,103.72
Bellarmine,A-Sun,-0.87,-0.89,107.81,108.82
Ball State,MAC,1.90,-3.85,100.65,102.83
Florida Atlantic,CUSA (East),-0.87,-1.17,100.26,103.13
Loyola (MD),Patriot (South),-3.14,0.85,97.57,100.69
Miami (OH),MAC,-1.97,-0.70,103.65,107.08
Eastern Kentucky,OVC,5.80,-8.49,99.21,103.05
Coastal Carolina,Sun Belt (East),-0.09,-2.65,98.35,102.04
Hofstra,CAA,1.73,-4.50,104.76,107.69
Murray State,OVC,-3.15,0.29,101.48,104.29
Hawaii,Big West,-1.79,-1.19,101.05,103.45
Jacksonville State,OVC,-2.10,-0.92,101.74,104.92
Sam Houston,Southland,0.23,-3.52,99.83,103.05
Utah Valley,WAC,0.66,-4.07,100.39,103.80
Hartford,AEC,-5.92,2.47,95.41,99.52
Southern Illinois,MVC,-4.60,1.04,99.11,103.51
Fresno State,MWC,-5.56,1.99,98.79,103.48
La Salle,A-10,-1.11,-2.46,100.21,104.67
Montana,Big Sky,-5.35,1.70,97.16,101.84
Detroit Mercy,Horizon,0.47,-4.13,107.18,110.48
Boston University,Patriot (North),-4.09,0.38,101.64,107.54
Rice,CUSA (West),0.89,-4.62,103.35,107.76
Texas State,Sun Belt (West),-8.53,4.68,98.26,101.90
Gardner-Webb,Big South,-2.51,-1.36,102.68,106.13
Siena,MAAC,-5.63,1.65,98.37,102.95
Valparaiso,MVC,-6.06,1.85,94.43,99.93
Albany (NY),AEC,-2.82,-1.71,98.02,103.99
Saint Joseph's,A-10,4.74,-9.30,100.21,105.04
Louisiana,Sun Belt (West),0.46,-5.29,98.15,103.87
Evansville,MVC,-4.71,-0.15,104.89,111.35
Kansas City,Summit,-11.49,6.57,96.04,102.28
College of Charleston,CAA,-3.46,-1.49,102.20,108.76
Holy Cross,Patriot (North),-0.49,-4.50,99.54,106.88
Cleveland State,Horizon,-5.36,0.25,97.23,102.78
Delaware,CAA,-7.21,2.02,95.19,101.72
Nicholls State,Southland,1.02,-6.23,97.18,103.77
San Diego,WCC,-2.88,-2.34,96.05,101.77
Seattle,WAC,-3.25,-2.00,95.88,102.00
California Baptist,WAC,3.59,-8.84,104.84,111.03
Elon,CAA,-7.56,2.24,94.89,101.20
Wagner,NEC,-4.07,-1.29,99.16,105.32
Lafayette,Patriot (Central),4.20,-9.58,104.62,112.44
Illinois State,MVC,-1.80,-3.65,97.73,104.33
Saint Peter's,MAAC,-10.55,5.07,89.33,96.08
Montana State,Big Sky,-2.30,-3.33,98.15,105.62
Mount St. Mary's,NEC,-12.18,6.51,93.15,100.53
Charlotte,CUSA (East),-9.24,3.56,96.88,104.18
George Washington,A-10,-0.69,-5.06,100.77,108.94
UC Davis,Big West,-2.43,-3.40,96.55,103.08
Appalachian State,Sun Belt (East),-5.88,0.04,96.75,105.13
Monmouth,MAAC,3.92,-9.80,97.86,105.76
South Alabama,Sun Belt (East),-1.95,-4.07,101.38,109.06
Massachusetts-Lowell,AEC,-2.64,-3.41,98.09,105.79
The Citadel,Southern,5.95,-12.03,102.73,110.28
Stony Brook,AEC,-7.15,1.01,92.89,100.90
Texas Southern,SWAC,-1.13,-5.02,96.83,104.28
Norfolk State,MEAC (Northern),-4.55,-1.61,96.59,103.45
Radford,Big South,-7.58,1.38,96.20,104.89
American,Patriot (South),-2.27,-4.05,96.91,106.19
Cal State Fullerton,Big West,3.55,-9.87,102.45,109.60
Portland State,Big Sky,-6.97,0.64,91.26,99.27
Little Rock,Sun Belt (West),-4.16,-2.21,97.62,106.14
Morgan State,MEAC (Northern),0.84,-7.39,98.31,106.08
Austin Peay,OVC,-2.16,-4.49,101.77,110.48
Northern Colorado,Big Sky,-4.19,-2.51,96.70,105.65
Northern Kentucky,Horizon,-4.50,-2.28,100.88,109.55
Campbell,Big South,-5.23,-1.59,100.81,108.64
UNC Wilmington,CAA,0.48,-7.32,102.06,110.29
Southern Mississippi,CUSA (West),-7.99,1.11,92.31,101.64
UC San Diego,Big West,-0.10,-6.85,100.93,109.80
UNC Asheville,Big South,-0.96,-6.03,98.65,108.10
Lipscomb,A-Sun,-4.35,-2.72,99.45,108.34
UT Arlington,Sun Belt (West),-2.62,-4.60,96.69,105.83
Stetson,A-Sun,-3.17,-4.09,99.01,108.07
