School,Win Loss Percentage,Simple Rating System,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Northern Kentucky,.515,-4.78,67.4,104.9,.314,.397,.530,49.2,54.8,11.3,9.4,.504,15.1,32.0,.210
Northwestern,.515,14.53,66.1,107.9,.313,.342,.533,49.8,55.8,10.3,10.7,.498,12.8,31.2,.230
Northwestern State,.500,-5.05,64.8,102.7,.327,.359,.529,50.8,53.8,10.4,12.5,.494,17.2,33.6,.234
Notre Dame,.455,7.43,65.4,108.2,.318,.375,.551,51.9,44.2,8.3,5.1,.517,14.4,29.6,.235
Oakland,.471,-2.68,64.6,106.9,.312,.425,.531,51.1,51.1,9.9,8.7,.501,15.2,34.8,.218
Ohio,.500,-2.52,71.6,110.6,.330,.402,.576,48.1,50.1,10.0,7.4,.541,13.6,24.1,.251
Ohio State,.531,17.89,68.5,112.4,.358,.377,.572,49.7,48.1,9.3,10.0,.535,13.7,28.9,.268
Oklahoma,.606,15.42,70.0,112.6,.396,.419,.595,48.4,52.0,11.2,6.8,.549,15.4,26.5,.315
Oklahoma State,.469,6.87,71.8,101.1,.416,.351,.528,50.1,51.7,12.5,8.6,.483,16.6,31.0,.301
Old Dominion,.429,-9.54,66.2,101.8,.316,.358,.487,51.7,44.0,8.3,9.0,.447,14.1,36.5,.226
Omaha,.647,-1.07,69.2,112.7,.366,.390,.571,52.1,49.3,8.6,7.5,.537,13.8,29.1,.265
Oral Roberts,.233,-11.40,68.3,106.9,.348,.457,.557,46.5,41.5,7.2,6.7,.519,15.0,24.5,.262
Oregon,.727,17.50,68.6,109.9,.334,.386,.561,51.4,54.4,10.3,10.1,.522,14.2,30.6,.255
Oregon State,.625,8.79,65.0,116.0,.383,.355,.592,53.2,55.3,10.0,9.6,.549,14.5,32.1,.301
Pacific,.273,-6.82,68.2,101.3,.326,.375,.528,50.7,51.4,8.3,8.3,.491,16.6,29.5,.236
Penn State,.516,13.63,71.0,111.4,.379,.362,.580,50.2,57.8,11.4,11.3,.541,15.4,28.6,.287
Pennsylvania,.296,-10.25,67.5,102.6,.289,.444,.523,48.3,55.7,7.3,4.7,.494,14.3,26.8,.202
Pepperdine,.371,-2.56,69.5,105.3,.314,.347,.535,49.4,60.1,8.8,7.3,.503,13.9,28.2,.225
Pittsburgh,.531,13.61,66.8,112.6,.342,.414,.564,49.5,51.4,10.8,12.5,.522,12.9,29.0,.267
Portland,.375,-7.08,69.5,103.4,.316,.428,.551,47.9,61.6,6.6,8.1,.511,16.1,24.1,.245
Portland State,.594,-4.04,69.9,107.6,.321,.318,.543,52.4,51.3,11.7,14.0,.525,15.5,34.2,.202
Prairie View,.156,-19.11,71.7,99.6,.341,.337,.522,41.8,47.6,11.3,8.1,.489,14.8,24.8,.236
Presbyterian,.438,-6.48,66.4,110.6,.318,.343,.557,50.4,48.8,10.0,8.9,.531,13.7,30.2,.221
Princeton,.633,-2.58,68.6,107.4,.240,.487,.544,50.0,57.5,10.7,6.5,.520,13.3,27.1,.171
Providence,.375,7.54,66.6,106.6,.296,.455,.546,52.8,51.2,7.4,9.2,.521,16.3,33.2,.203
Purdue,.667,20.68,66.6,117.0,.346,.381,.592,51.1,57.7,9.8,5.3,.563,13.6,31.0,.253
Purdue Fort Wayne,.594,-1.01,70.5,113.2,.284,.455,.582,45.0,47.3,12.2,7.9,.554,12.1,22.4,.213
Queens (NC),.576,-4.76,69.8,108.4,.344,.450,.551,51.5,60.0,9.3,14.2,.523,15.3,31.7,.236
Quinnipiac,.606,-5.63,71.6,102.9,.313,.379,.524,53.9,52.7,11.5,12.3,.482,15.4,33.3,.239
Radford,.606,-2.48,64.9,113.1,.398,.366,.566,53.1,45.4,8.5,9.4,.521,14.8,34.6,.304
Rhode Island,.581,1.61,71.2,108.3,.426,.378,.565,51.3,51.9,8.2,8.9,.531,15.8,28.9,.296
Rice,.406,-1.84,65.9,105.8,.434,.387,.524,52.3,50.7,7.0,8.4,.485,15.0,33.7,.296
Richmond,.313,-4.88,64.8,100.7,.311,.457,.534,46.5,51.2,9.0,7.1,.489,14.0,19.6,.246
Rider,.424,-11.81,65.3,102.6,.296,.301,.512,50.4,51.1,8.2,9.1,.477,14.6,32.2,.214
Robert Morris,.765,-0.04,68.6,110.0,.384,.367,.553,53.5,60.5,9.1,12.1,.515,15.8,35.6,.277
Rutgers,.469,10.45,69.4,108.8,.362,.363,.542,49.1,47.7,9.9,10.2,.506,13.3,30.8,.260
Sacramento State,.219,-13.69,66.1,100.2,.311,.458,.530,50.2,56.0,9.0,10.5,.504,17.4,27.7,.210
Sacred Heart,.455,-8.72,70.0,107.8,.262,.445,.544,50.9,61.1,10.5,8.6,.516,15.0,31.8,.192
Saint Francis (PA),.485,-12.52,67.1,104.0,.231,.420,.555,49.7,53.4,9.3,7.0,.532,16.7,26.4,.168
Saint Joseph's,.647,8.07,68.2,109.6,.323,.465,.556,52.0,56.4,9.4,13.7,.521,14.4,30.4,.240
Saint Louis,.576,4.31,68.2,107.9,.304,.503,.585,50.3,57.1,9.3,8.3,.565,16.7,23.9,.209
Saint Mary's (CA),.848,17.75,63.7,114.6,.312,.336,.538,57.8,57.2,9.7,10.3,.510,12.5,40.4,.217
Saint Peter's,.429,-10.35,65.0,100.6,.343,.382,.502,53.2,46.3,10.3,10.7,.458,17.2,37.7,.254
Sam Houston,.406,-2.58,69.1,107.8,.357,.384,.556,50.3,49.8,9.2,8.4,.520,15.7,31.1,.259
Samford,.688,1.58,72.0,114.9,.288,.460,.571,50.5,55.7,13.7,11.9,.546,14.9,35.3,.208
San Diego,.182,-8.05,71.6,98.0,.306,.357,.501,47.9,45.9,10.4,10.2,.459,16.0,30.1,.230
San Diego State,.700,13.78,66.2,106.1,.314,.400,.536,50.0,51.3,11.5,18.7,.511,14.2,29.8,.209
San Francisco,.727,10.97,68.9,109.7,.346,.434,.561,50.7,51.9,9.7,9.4,.530,14.9,29.3,.246
San Jose State,.441,0.83,67.1,106.4,.303,.411,.550,49.0,51.0,8.7,8.0,.517,15.0,28.1,.224
Santa Clara,.625,13.16,70.0,114.8,.289,.468,.581,53.4,58.5,9.3,8.5,.555,14.7,32.8,.210
Seattle,.438,0.15,67.9,103.7,.426,.369,.521,50.8,51.7,11.9,9.9,.474,14.4,30.3,.305
Seton Hall,.219,0.06,64.7,94.0,.329,.305,.481,47.8,50.7,12.4,11.9,.447,16.4,31.2,.218
Siena,.438,-7.12,67.6,105.2,.373,.399,.537,48.7,48.3,10.0,13.3,.494,15.0,28.8,.277
South Alabama,.656,1.51,64.2,110.9,.335,.457,.549,49.5,56.6,14.2,11.4,.518,12.3,29.0,.236
South Carolina,.375,10.24,66.8,103.7,.433,.390,.534,51.6,54.7,8.4,7.8,.489,15.9,30.4,.310
South Carolina State,.606,-4.35,71.5,110.3,.429,.336,.566,52.6,57.0,13.2,9.8,.529,16.8,36.6,.304
South Carolina Upstate,.188,-15.44,74.1,100.9,.312,.374,.537,47.3,48.4,10.2,6.3,.511,16.9,25.8,.211
South Dakota,.576,-5.43,74.7,114.1,.440,.385,.553,47.5,40.4,10.1,8.6,.511,11.1,30.8,.314
South Dakota State,.625,2.49,69.7,114.2,.306,.408,.574,56.5,49.4,6.7,8.2,.543,14.8,33.8,.229
South Florida,.406,-1.84,69.7,105.9,.344,.374,.539,47.6,54.6,11.8,9.6,.503,13.8,28.3,.248
Southeast Missouri State,.636,-4.67,69.7,105.4,.279,.368,.546,49.2,49.7,11.6,9.6,.518,13.6,25.2,.202
Southeastern Louisiana,.563,-4.04,67.5,106.7,.346,.319,.538,51.5,45.9,10.2,7.3,.497,14.7,31.5,.259
Southern,.625,-6.72,70.6,105.1,.370,.338,.522,53.7,48.9,13.6,11.8,.490,14.9,36.0,.247
Southern California,.485,12.46,69.1,110.4,.364,.347,.581,49.3,56.9,9.1,8.4,.546,15.7,28.2,.272
Southern Illinois,.424,-2.17,68.4,105.7,.338,.333,.546,51.7,53.4,9.1,8.5,.520,15.8,30.3,.228
SIU Edwardsville,.667,-5.83,67.9,106.1,.322,.365,.525,52.0,52.5,9.8,11.4,.496,14.1,32.3,.218
Southern Indiana,.333,-13.66,68.5,103.0,.303,.344,.523,49.2,44.8,9.7,7.6,.488,14.6,29.0,.221
Southern Methodist,.697,14.94,69.1,115.8,.367,.351,.578,53.9,55.1,11.5,10.3,.547,14.8,36.7,.264
Southern Mississippi,.333,-9.84,71.4,99.0,.334,.367,.520,50.0,56.5,9.6,11.3,.486,16.9,28.7,.231
Southern Utah,.387,-10.25,70.8,98.5,.357,.326,.518,50.5,48.9,7.2,9.8,.476,17.7,31.0,.261
St. Bonaventure,.667,4.16,65.2,105.5,.303,.349,.536,51.0,43.6,11.4,11.2,.502,13.9,28.5,.222
St. John's (NY),.882,21.77,70.4,110.2,.302,.303,.525,53.9,53.7,12.8,15.1,.497,12.9,37.3,.208
St. Thomas,.706,1.34,69.8,118.8,.336,.462,.615,47.2,53.6,10.2,9.4,.582,12.3,22.8,.262
Stanford,.606,9.14,67.0,109.0,.297,.414,.544,50.7,54.1,10.4,9.6,.504,13.6,31.1,.234
Stephen F. Austin,.452,-8.12,68.2,96.5,.319,.368,.501,51.4,51.3,12.1,11.5,.475,19.0,35.8,.202
Stetson,.250,-16.20,69.5,102.4,.338,.379,.546,46.5,46.7,7.4,8.1,.509,16.5,25.0,.249
Stonehill,.469,-12.86,66.3,103.7,.319,.445,.546,49.8,60.7,9.7,7.0,.513,16.2,27.5,.231
Stony Brook,.250,-13.56,64.9,102.5,.311,.392,.520,48.8,48.8,7.9,6.3,.480,15.5,29.8,.232
Syracuse,.424,5.34,68.7,106.3,.331,.327,.542,52.7,49.9,6.9,6.8,.510,15.4,31.4,.234
Tarleton State,.375,-9.95,68.5,92.4,.422,.253,.523,48.9,48.5,13.7,12.2,.473,22.5,30.7,.309
TCU,.500,10.90,67.1,100.3,.335,.347,.497,50.6,49.9,11.3,10.7,.468,14.6,33.0,.217
Temple,.531,0.08,69.4,110.9,.452,.318,.553,50.7,41.3,9.0,9.5,.506,13.4,31.9,.333
Tennessee,.818,25.04,65.4,114.2,.346,.428,.564,54.0,60.0,10.6,16.1,.528,13.7,35.9,.257
Tennessee State,.515,-7.85,71.6,106.6,.404,.343,.550,54.2,48.4,9.8,9.9,.519,17.8,36.3,.275
Tennessee Tech,.469,-10.85,69.0,103.8,.290,.469,.541,47.0,60.0,9.1,6.5,.515,14.9,24.2,.202
Tennessee-Martin,.424,-10.97,68.0,107.0,.342,.475,.529,53.0,53.5,11.6,9.5,.495,15.7,35.9,.239
Texas,.559,16.20,68.4,113.0,.366,.354,.565,50.6,47.5,9.1,11.7,.525,12.5,29.8,.274
Texas A&M,.688,20.05,67.5,109.3,.417,.376,.517,56.3,47.7,11.1,13.9,.475,14.7,42.0,.290
Texas A&M-Corpus Christi,.588,-1.03,68.5,110.5,.354,.294,.558,53.0,52.6,11.5,10.3,.540,15.0,33.7,.223
Texas Southern,.469,-10.03,71.6,100.7,.281,.353,.520,49.1,51.8,11.9,9.6,.488,16.6,30.8,.203
Texas State,.500,-3.50,67.2,110.9,.364,.277,.556,53.0,53.6,10.3,11.1,.515,15.2,35.8,.276
Texas Tech,.758,23.91,66.4,120.0,.297,.446,.585,53.2,58.5,9.7,8.1,.555,12.6,34.3,.227
Texas-Rio Grande Valley,.516,-6.12,71.5,107.4,.220,.507,.548,50.2,61.2,10.6,7.0,.527,16.1,31.7,.156
The Citadel,.167,-18.29,66.3,99.1,.345,.455,.509,48.5,52.1,8.9,6.1,.486,16.1,28.8,.213
Toledo,.545,-5.94,69.6,113.0,.354,.284,.552,49.3,46.7,7.7,7.2,.512,11.6,30.4,.265
Towson,.667,-1.68,64.1,108.0,.283,.377,.512,52.6,42.0,10.0,9.9,.484,12.0,35.3,.193
Troy,.697,3.62,67.5,109.5,.387,.447,.545,53.9,55.4,14.0,13.2,.505,16.6,39.5,.279
Tulane,.576,2.03,68.0,109.8,.356,.396,.562,49.3,57.3,10.6,13.5,.522,13.9,27.7,.271
Tulsa,.394,-5.68,67.6,103.8,.338,.426,.531,49.1,54.3,8.9,6.9,.503,14.5,27.3,.225
UAB,.667,4.54,70.1,117.8,.311,.294,.552,53.9,53.7,9.6,10.7,.515,11.6,38.7,.237
UC Davis,.469,-5.89,68.6,98.6,.376,.350,.517,47.7,48.0,11.4,10.4,.470,16.8,28.9,.279
UC Irvine,.824,8.07,69.7,107.6,.369,.347,.566,53.1,61.2,9.6,9.1,.516,16.0,28.4,.297
UC Riverside,.636,-0.25,68.0,108.8,.275,.428,.533,51.8,49.0,7.9,6.8,.499,13.6,33.4,.208
UC San Diego,.882,13.04,67.4,118.3,.325,.504,.588,49.8,58.3,14.7,7.3,.558,11.4,26.8,.242
UC Santa Barbara,.618,0.78,66.9,111.0,.302,.472,.584,50.6,58.1,9.0,8.7,.553,16.1,27.7,.231
UCF,.515,10.71,72.7,107.4,.363,.413,.541,48.8,53.0,10.6,11.1,.494,14.7,32.4,.282
UCLA,.688,19.24,66.6,112.3,.329,.360,.558,51.2,60.5,12.2,10.5,.530,13.7,32.8,.232
UNC Asheville,.656,-5.10,70.8,114.8,.344,.367,.567,49.1,47.7,10.5,11.7,.537,12.6,31.3,.246
UNC Greensboro,.625,-0.87,65.2,111.8,.296,.427,.553,51.9,50.9,9.2,8.7,.522,13.0,31.8,.217
UNC Wilmington,.794,2.32,67.2,116.8,.374,.365,.572,55.2,54.8,9.6,10.4,.533,13.6,36.7,.280
UT Arlington,.419,-5.22,69.1,106.1,.367,.423,.547,50.8,54.6,8.5,8.0,.521,16.6,33.1,.243
Utah,.500,11.95,69.1,108.5,.370,.438,.540,53.6,66.4,9.2,10.2,.517,15.2,34.9,.236
Utah State,.788,14.48,67.5,119.8,.375,.425,.593,52.3,61.4,12.8,9.1,.567,13.6,34.9,.263
Utah Tech,.212,-9.88,69.3,100.5,.331,.387,.522,47.6,51.6,9.3,8.2,.489,15.9,28.0,.230
Utah Valley,.758,2.31,69.2,109.2,.412,.313,.556,53.6,58.6,9.4,14.5,.523,15.1,31.7,.284
UTEP,.545,-0.29,69.5,103.9,.373,.365,.541,46.0,52.6,14.6,9.2,.503,15.0,25.6,.267
UTSA,.387,-2.32,70.4,108.1,.287,.442,.543,46.0,48.2,13.4,10.0,.503,13.4,28.8,.227
Valparaiso,.441,-2.85,68.5,107.8,.328,.383,.537,49.2,46.8,8.4,10.3,.491,12.3,27.4,.259
Vanderbilt,.625,15.03,70.2,113.0,.340,.402,.554,50.3,50.1,12.8,11.4,.517,12.6,32.2,.254
Vermont,.636,-7.77,64.4,103.4,.304,.433,.537,50.8,51.3,8.7,13.0,.505,15.3,26.8,.219
Villanova,.576,13.34,63.5,115.5,.289,.436,.584,52.3,49.0,8.9,7.8,.549,13.7,30.2,.231
Virginia,.469,6.12,61.6,105.1,.264,.428,.556,47.1,63.6,8.9,11.3,.527,14.8,22.4,.199
Virginia Commonwealth,.818,15.26,66.8,115.5,.322,.475,.560,53.6,56.4,12.2,15.3,.526,13.9,37.1,.239
VMI,.441,-11.11,68.8,106.1,.352,.477,.546,48.9,51.3,11.5,8.2,.504,15.2,28.3,.268
Virginia Tech,.406,3.00,66.1,103.5,.308,.404,.543,50.9,51.5,8.1,5.8,.512,17.4,31.0,.220
Wagner,.467,-15.45,61.8,99.9,.295,.379,.503,53.6,57.0,11.3,5.8,.469,15.9,32.6,.209
Wake Forest,.656,9.90,67.9,103.4,.361,.352,.538,48.3,45.8,10.6,12.7,.494,14.8,26.8,.273
Washington,.419,6.24,68.6,103.4,.352,.357,.537,48.9,50.6,9.3,10.5,.506,15.3,27.6,.240
Washington State,.576,4.90,71.5,109.8,.324,.415,.589,50.1,59.3,8.9,13.0,.567,18.0,31.3,.226
Weber State,.353,-9.28,66.9,106.6,.343,.382,.552,49.3,44.9,9.6,7.4,.521,14.4,25.5,.241
West Georgia,.194,-15.07,69.3,99.6,.286,.301,.510,47.4,52.1,10.1,9.2,.480,14.3,26.2,.198
West Virginia,.594,15.29,65.2,102.9,.256,.461,.528,47.6,56.5,11.4,11.6,.500,14.3,25.9,.185
Western Carolina,.267,-15.71,71.6,96.1,.277,.488,.505,49.5,50.3,7.3,8.7,.468,16.9,27.0,.207
Western Illinois,.387,-15.05,65.5,104.1,.275,.376,.536,50.4,41.0,8.2,9.8,.511,15.8,30.2,.190
Western Kentucky,.531,-0.21,72.9,102.3,.309,.399,.523,47.8,45.3,11.1,7.9,.488,13.3,23.9,.224
Western Michigan,.375,-9.42,69.4,103.8,.309,.332,.504,52.0,46.8,10.0,6.8,.474,13.3,34.3,.208
Wichita State,.576,2.78,69.3,105.8,.354,.283,.530,52.3,44.2,9.7,11.7,.490,14.3,32.3,.257
William & Mary,.531,-5.97,71.2,109.1,.348,.517,.574,49.0,62.8,10.2,5.2,.544,15.8,26.9,.251
Winthrop,.676,-1.44,74.1,113.1,.470,.390,.570,51.6,44.9,10.6,8.8,.540,15.0,33.4,.314
Wisconsin,.765,21.15,68.7,116.8,.340,.478,.590,51.7,54.9,7.6,6.1,.545,12.6,27.8,.281
Wofford,.559,-0.27,65.3,114.4,.307,.480,.555,55.5,56.0,9.2,8.7,.535,13.9,37.0,.203
Wright State,.455,-4.90,68.1,112.2,.270,.377,.586,51.4,52.7,8.3,8.2,.566,15.6,29.0,.191
Wyoming,.375,-0.28,65.7,101.8,.300,.399,.529,51.5,47.9,6.7,8.2,.506,16.9,30.7,.196
Xavier,.656,15.57,69.4,111.5,.372,.374,.584,51.0,63.9,11.0,7.2,.539,14.4,25.2,.295
Yale,.750,6.78,69.0,118.0,.315,.320,.579,55.3,54.8,8.4,12.4,.551,12.7,33.9,.230
Youngstown State,.618,-3.87,70.6,107.5,.358,.461,.548,50.5,53.1,9.8,13.2,.510,14.9,30.9,.262
