school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.448,-11.86,68.0,100.2,.349,.354,.554,47.1,56.6,10.5,8.5,.530,18.5,23.5,.232
Air Force,.364,-3.06,68.9,104.8,.381,.388,.544,50.3,60.5,8.6,5.7,.506,15.0,26.5,.273
Akron,.750,3.59,68.0,113.2,.366,.484,.580,51.2,54.5,8.1,8.6,.556,15.0,29.8,.250
Alabama,.559,11.29,67.4,100.2,.391,.372,.515,53.8,48.2,8.6,11.6,.483,17.3,34.1,.255
Alabama A&M,.069,-26.99,65.4,93.4,.396,.289,.487,46.4,51.9,5.2,4.4,.446,17.3,30.0,.265
Alabama State,.258,-19.75,69.6,93.1,.346,.368,.478,50.4,41.7,6.8,8.0,.447,18.6,34.6,.220
Albany (NY),.600,-0.16,65.3,109.2,.333,.266,.555,55.5,49.0,7.8,5.6,.517,15.6,33.7,.252
Alcorn State,.563,-12.33,69.2,100.0,.328,.359,.515,51.4,53.1,9.4,9.2,.488,17.3,32.5,.214
American,.267,-10.30,65.2,94.0,.307,.343,.522,46.6,49.0,10.6,6.9,.503,18.3,21.7,.190
Appalachian State,.300,-8.67,72.1,101.6,.378,.417,.525,50.7,55.3,7.7,7.6,.491,16.5,29.4,.258
Arizona NCAA,.865,18.25,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310
Arizona State,.455,4.02,72.5,108.0,.319,.438,.550,45.1,48.4,8.1,8.8,.514,12.7,24.4,.239
Arkansas NCAA,.722,14.04,71.7,110.7,.381,.295,.558,49.5,49.8,10.8,12.4,.514,14.3,31.7,.290
Arkansas State,.625,0.87,68.8,106.1,.415,.323,.547,52.1,48.1,7.8,7.3,.522,16.2,31.4,.265
Arkansas-Pine Bluff,.219,-22.81,68.7,88.2,.337,.360,.494,46.8,48.1,12.4,9.5,.463,22.4,29.8,.220
Army,.406,-5.84,72.0,99.6,.280,.433,.538,51.8,61.8,7.6,4.9,.518,18.3,27.1,.183
Auburn,.563,8.17,75.2,106.1,.425,.401,.544,48.4,48.3,9.6,13.4,.511,15.5,30.3,.285
Austin Peay,.367,-11.00,71.8,106.9,.405,.373,.569,44.9,40.2,7.8,6.3,.535,15.4,24.4,.286
Ball State,.618,-1.45,72.7,106.7,.346,.418,.571,51.2,56.9,8.1,8.8,.540,17.5,28.3,.248
Baylor NCAA,.771,19.75,65.3,111.5,.338,.328,.562,56.5,59.1,7.9,13.0,.530,17.1,40.2,.244
Belmont,.767,4.28,69.0,110.7,.306,.526,.590,52.1,60.3,6.3,6.8,.558,16.3,26.3,.235
Bethune-Cookman,.313,-19.44,70.1,98.8,.274,.352,.498,47.0,53.3,10.6,7.9,.472,15.3,31.1,.182
Binghamton,.375,-11.99,67.4,100.4,.316,.390,.538,48.6,53.4,7.7,6.9,.508,16.4,23.4,.223
Boise State,.625,5.52,70.4,106.7,.412,.403,.558,51.3,47.7,7.0,6.1,.520,16.0,28.2,.294
Boston College,.281,2.20,72.5,100.0,.296,.364,.541,50.2,56.1,7.7,7.3,.516,17.9,25.7,.201
Boston University,.563,-2.43,69.8,103.1,.336,.419,.547,50.1,55.0,11.7,7.7,.517,17.2,28.2,.234
Bowling Green State,.406,-6.00,72.7,100.1,.361,.329,.514,48.8,46.9,9.4,7.1,.481,15.1,28.2,.241
Bradley,.394,-2.84,68.6,95.1,.418,.354,.524,49.2,50.9,8.9,10.5,.488,19.5,26.2,.281
Brigham Young,.647,8.22,75.6,106.7,.422,.325,.555,53.5,57.0,8.7,11.7,.511,16.0,29.2,.310
