school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Montana State,.469,-7.91,71.6,109.2,.346,.435,.571,49.6,57.2,7.4,4.3,.537,15.2,26.1,.255
Morehead State,.394,-7.73,70.6,103.2,.328,.382,.528,48.8,51.5,7.9,10.8,.494,14.9,29.0,.231
Morgan State,.300,-15.98,73.9,96.7,.348,.271,.483,47.2,47.8,10.3,4.4,.439,15.2,31.8,.248
Mount St. Mary's,.290,-14.57,69.5,97.1,.338,.412,.513,47.4,48.3,6.8,9.7,.481,16.8,26.4,.230
Murray State NCAA,.848,8.96,71.8,115.0,.335,.364,.586,52.1,59.8,10.5,11.5,.557,14.7,31.3,.246
Navy,.387,-10.09,68.3,97.3,.305,.368,.504,52.4,54.5,7.9,5.7,.468,17.6,31.5,.218
NC State,.667,14.94,71.8,110.7,.285,.358,.547,53.0,50.8,9.9,10.3,.520,14.6,35.8,.202
Nebraska,.528,14.85,67.2,106.5,.325,.375,.525,48.5,50.9,10.7,11.1,.493,12.3,28.6,.227
Nevada NCAA,.853,16.00,70.7,113.2,.408,.428,.570,51.8,53.9,8.8,11.2,.537,12.9,27.1,.289
Nevada-Las Vegas,.548,1.58,69.0,105.5,.349,.402,.527,53.3,50.7,8.5,9.6,.495,15.7,35.1,.239
New Hampshire,.172,-18.66,67.1,89.5,.232,.475,.474,47.7,52.2,6.0,5.5,.455,16.2,23.2,.142
New Mexico,.438,-0.55,74.5,102.5,.387,.438,.536,50.2,54.8,9.2,8.4,.498,16.6,28.7,.271
New Mexico State NCAA,.857,10.05,68.3,113.9,.341,.467,.562,57.2,53.4,8.2,8.1,.538,14.7,36.7,.231
New Orleans,.576,-8.88,71.1,99.7,.351,.292,.526,49.7,57.7,11.9,10.9,.493,18.6,32.9,.243
Niagara,.406,-11.33,70.4,102.6,.333,.391,.530,49.8,43.1,5.7,10.4,.492,15.1,26.6,.245
Nicholls State,.452,-11.87,71.2,101.6,.218,.461,.535,45.7,53.0,9.3,10.4,.506,15.4,24.3,.168
NJIT,.629,-3.63,69.2,101.4,.383,.373,.547,48.6,44.3,9.1,7.4,.508,15.7,21.3,.276
Norfolk State,.611,-8.04,71.8,101.3,.386,.370,.539,50.2,50.8,8.4,13.0,.501,17.5,28.1,.274
North Alabama,.313,-11.00,71.1,93.9,.323,.421,.486,49.4,44.9,9.2,6.5,.451,16.5,27.5,.218
North Carolina NCAA,.806,23.94,75.9,112.7,.302,.358,.560,56.6,60.6,9.2,9.5,.529,14.6,34.8,.224
North Carolina A&T,.594,-11.24,67.9,102.3,.305,.361,.545,47.8,54.8,9.8,9.2,.522,16.9,27.4,.203
North Carolina Central NCAA,.529,-11.53,68.5,104.0,.334,.361,.545,54.8,60.2,8.9,7.5,.512,18.8,35.1,.239
North Dakota,.400,-8.78,71.5,103.5,.272,.365,.555,48.9,48.4,8.0,7.3,.532,16.0,22.6,.189
North Dakota State NCAA,.543,-4.01,66.8,108.5,.318,.472,.576,48.7,46.0,6.8,6.6,.540,14.2,20.6,.247
North Florida,.485,-3.47,74.0,101.3,.268,.445,.547,49.8,57.6,8.6,10.8,.524,19.1,30.3,.185
North Texas,.636,-0.25,67.5,103.0,.279,.439,.532,53.2,51.5,9.4,7.9,.509,17.0,31.5,.186
Northeastern NCAA,.676,3.95,66.3,111.7,.343,.464,.597,49.7,54.5,9.2,6.0,.565,15.1,22.5,.258
Northern Arizona,.323,-10.75,70.0,103.4,.338,.412,.536,48.7,48.5,9.0,6.3,.503,15.0,25.7,.238
Northern Colorado,.656,-3.92,68.7,110.1,.345,.462,.573,52.1,49.7,7.9,8.0,.546,15.7,28.6,.242
Northern Illinois,.500,2.58,68.4,106.5,.272,.322,.556,50.9,39.8,8.0,7.2,.529,15.2,26.6,.199
Northern Iowa,.471,-1.54,65.8,99.0,.291,.429,.527,50.0,48.1,7.4,6.7,.491,15.8,23.1,.217
Northern Kentucky NCAA,.743,4.67,70.0,111.4,.354,.412,.574,53.2,60.5,8.8,11.5,.553,15.6,30.6,.236
