school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian NCAA,.828,6.27,72.0,105.2,.339,.367,.540,51.5,65.3,13.5,8.9,.512,16.2,31.3,.230
Air Force,.200,-12.98,63.9,91.9,.309,.450,.547,40.1,59.0,11.1,8.0,.521,21.2,15.3,.214
Akron,.652,1.85,70.1,110.2,.303,.461,.555,51.7,48.6,6.9,8.9,.520,14.3,31.0,.230
Alabama NCAA,.788,19.58,74.7,106.3,.288,.465,.544,51.7,50.2,11.3,10.6,.517,15.9,31.8,.204
Alabama A&M,.400,-18.86,70.1,88.9,.318,.329,.475,49.8,47.3,7.7,9.1,.448,18.6,28.1,.199
Alabama State,.222,-24.28,72.4,88.8,.427,.347,.476,49.1,45.7,8.4,6.1,.435,19.3,29.5,.277
Albany (NY),.438,-4.53,69.7,99.6,.341,.343,.541,47.9,47.3,8.8,5.1,.505,16.4,22.3,.247
Alcorn State,.316,-19.58,71.3,92.8,.340,.340,.488,47.8,40.7,10.6,5.0,.444,17.7,29.7,.247
American,.400,-6.32,67.5,97.5,.268,.427,.550,48.2,51.6,10.3,11.4,.526,20.1,24.1,.189
Appalachian State NCAA,.586,-5.84,66.8,103.1,.340,.437,.520,50.8,49.9,11.6,10.4,.478,14.9,29.8,.252
Arizona,.654,15.02,68.4,109.2,.418,.314,.548,55.1,60.4,8.5,11.2,.505,14.7,34.0,.304
Arizona State,.440,7.48,72.6,101.4,.333,.354,.530,44.6,49.8,9.9,8.8,.492,13.5,21.1,.242
Arkansas NCAA,.781,17.80,75.1,108.0,.327,.339,.544,52.6,49.8,10.4,13.0,.508,14.7,31.3,.242
Arkansas State,.458,-7.97,69.3,104.1,.344,.289,.538,52.5,55.9,9.4,7.1,.502,16.2,31.9,.248
Arkansas-Pine Bluff,.160,-22.67,69.5,88.2,.386,.295,.483,46.7,45.8,9.1,9.9,.432,19.7,26.7,.279
Army,.545,0.06,70.0,101.9,.283,.410,.541,49.5,53.8,8.9,4.2,.523,15.9,23.2,.180
Auburn,.481,10.02,73.4,104.1,.362,.461,.546,52.0,56.3,8.4,14.8,.512,18.7,34.8,.256
Austin Peay,.519,-6.66,69.0,106.7,.286,.354,.546,52.1,48.7,9.7,5.9,.513,17.8,36.0,.215
Ball State,.435,-1.96,72.0,102.7,.287,.412,.547,49.4,51.9,7.5,6.2,.513,17.3,27.8,.215
Baylor NCAA,.933,24.83,69.6,118.6,.265,.384,.586,53.2,55.3,12.7,10.3,.565,14.0,36.4,.188
Bellarmine,.636,-1.76,65.8,112.9,.285,.315,.594,50.8,55.6,11.1,8.3,.567,15.1,26.8,.216
Belmont,.867,3.46,71.9,112.6,.282,.430,.588,50.4,61.2,10.7,7.5,.563,14.8,26.1,.208
Binghamton,.222,-12.24,66.2,96.9,.232,.454,.511,50.2,46.3,7.4,8.3,.489,17.8,29.1,.156
Boise State,.679,9.75,70.2,107.4,.346,.389,.558,52.1,50.9,9.3,7.7,.522,14.7,26.8,.255
Boston College,.200,0.82,71.8,98.7,.297,.461,.528,47.2,46.0,10.0,10.0,.498,16.8,25.0,.208
Boston University,.389,-3.71,67.9,102.2,.286,.380,.531,51.2,42.1,7.9,8.2,.496,16.1,28.8,.214
Bowling Green State,.538,-0.17,71.9,106.8,.278,.385,.514,49.4,45.3,9.8,5.9,.480,11.5,30.5,.204
Bradley,.429,0.32,66.4,103.9,.240,.369,.534,52.3,51.9,7.7,11.3,.509,16.0,29.3,.174
Brigham Young NCAA,.741,15.19,70.2,109.8,.275,.394,.580,54.7,56.2,6.5,7.2,.556,16.4,28.6,.200
Bryant,.682,-1.37,77.2,108.5,.344,.398,.577,50.8,52.7,8.9,8.6,.541,17.3,28.2,.262
Bucknell,.417,-7.78,73.1,102.5,.363,.391,.561,47.6,46.3,8.0,8.1,.520,16.0,19.8,.277
Buffalo,.640,6.50,74.2,108.6,.293,.312,.537,55.1,51.8,10.6,9.6,.514,15.5,37.2,.197
Butler,.400,4.76,65.1,96.2,.294,.398,.500,48.8,53.8,8.4,6.0,.475,15.3,26.0,.190
Cal Poly,.167,-13.69,68.5,89.3,.295,.373,.492,46.4,57.4,9.0,9.3,.454,18.2,22.1,.213
Cal State Bakersfield,.577,-0.13,65.7,105.6,.272,.270,.524,56.2,53.4,9.7,10.1,.494,16.4,39.3,.194
Cal State Fullerton,.375,-6.32,72.7,105.1,.343,.359,.557,47.6,50.7,9.1,5.0,.521,15.6,25.0,.253
Cal State Northridge,.409,-8.69,70.9,101.2,.308,.380,.523,47.0,52.3,8.9,6.1,.488,14.7,25.3,.224
California,.310,4.89,66.3,98.7,.346,.405,.530,49.4,52.3,6.6,6.2,.497,17.1,24.6,.242
California Baptist,.565,-5.25,71.1,110.6,.343,.410,.587,53.1,63.6,7.1,6.3,.556,16.7,29.0,.253
Campbell,.630,-6.82,65.8,106.4,.339,.369,.586,46.2,55.4,9.2,6.7,.565,16.7,20.7,.230
Canisius,.538,-8.61,71.5,98.4,.316,.416,.506,48.6,51.4,7.8,8.7,.470,14.7,26.6,.224
Central Arkansas,.208,-14.86,74.0,95.8,.321,.337,.532,51.1,53.1,6.8,6.8,.498,20.8,28.9,.230
