school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.323,-17.20,65.9,96.7,.289,.362,.516,44.6,56.7,9.9,3.6,.482,17.2,25.5,.210
Air Force,.452,-1.85,61.1,107.1,.311,.399,.567,49.4,65.1,10.3,7.4,.548,16.9,29.1,.205
Akron,.600,3.65,64.7,104.8,.311,.473,.523,50.5,52.8,10.1,12.1,.498,15.6,33.4,.205
Alabama,.559,10.52,63.1,105.4,.436,.404,.548,49.7,46.1,10.1,11.1,.505,16.4,30.0,.313
Alabama A&M,.310,-17.15,64.5,95.6,.419,.376,.489,49.5,58.2,8.8,6.1,.451,18.3,35.8,.271
Alabama State,.655,-8.97,69.8,102.9,.350,.276,.515,53.5,51.6,9.1,10.6,.487,16.4,35.9,.228
Albany (NY) NCAA,.727,-0.34,61.2,106.4,.390,.343,.546,53.5,47.9,9.2,5.5,.499,16.2,32.6,.296
Alcorn State,.188,-20.75,68.2,94.7,.378,.297,.470,46.4,39.4,8.8,6.7,.430,14.3,31.2,.248
American,.515,-3.56,57.0,101.5,.344,.386,.563,45.7,59.7,10.3,8.0,.534,17.7,21.4,.243
Appalachian State,.414,-9.81,66.5,95.5,.335,.367,.496,49.9,49.9,6.3,5.4,.456,17.6,31.2,.238
Arizona NCAA,.895,24.33,66.5,114.8,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338
Arizona State,.529,9.52,66.0,103.3,.421,.363,.541,52.9,53.3,8.7,6.1,.509,17.8,31.8,.281
Arkansas NCAA,.750,14.07,70.1,109.6,.373,.310,.539,50.2,59.2,10.9,12.0,.500,14.3,35.7,.270
Arkansas State,.379,-10.10,66.9,95.5,.325,.315,.496,49.1,48.3,7.9,8.1,.459,17.2,30.3,.228
Arkansas-Pine Bluff,.375,-15.65,64.7,92.0,.357,.373,.499,45.0,49.2,13.6,10.7,.462,20.3,30.5,.242
Army,.500,-6.50,69.0,103.3,.315,.394,.532,49.3,56.1,9.2,8.8,.505,16.3,30.4,.214
Auburn,.429,3.27,67.9,99.1,.484,.387,.514,46.0,49.5,9.9,7.0,.471,16.4,28.0,.322
Austin Peay,.267,-12.45,68.2,94.6,.411,.308,.486,50.3,54.3,9.3,12.1,.444,17.7,33.0,.274
Ball State,.233,-5.06,64.1,99.9,.355,.433,.531,50.2,57.2,8.1,6.8,.497,18.7,30.2,.246
Baylor NCAA,.706,17.85,62.8,109.2,.386,.334,.530,55.9,61.1,12.2,11.2,.497,16.4,42.4,.260
Belmont NCAA,.667,0.35,67.5,109.9,.324,.480,.589,50.3,58.7,9.4,5.5,.567,17.8,29.0,.225
Bethune-Cookman,.344,-15.52,61.3,96.8,.429,.346,.503,51.1,42.1,8.9,8.1,.452,19.2,35.6,.308
Binghamton,.188,-13.45,63.4,90.7,.387,.347,.488,46.9,43.9,9.1,7.8,.450,18.6,26.5,.255
Boise State NCAA,.735,10.01,62.4,110.6,.324,.416,.568,52.1,49.2,9.5,7.0,.537,14.2,28.4,.236
Boston College,.406,6.32,63.9,101.4,.350,.382,.541,48.0,56.7,8.8,7.5,.507,16.7,26.1,.247
Boston University,.433,-5.63,63.7,105.7,.450,.421,.560,50.7,55.1,8.8,5.8,.523,16.9,28.5,.313
Bowling Green State,.636,2.93,63.8,103.9,.326,.358,.527,51.0,52.2,10.4,11.2,.491,15.6,31.4,.233
Bradley,.273,-4.30,61.1,91.9,.377,.349,.469,50.5,48.2,11.1,9.6,.429,17.3,32.5,.250
Brigham Young NCAA,.714,13.53,70.7,116.7,.424,.365,.584,53.2,60.9,10.2,7.4,.539,14.2,34.1,.325
Brown,.419,-7.23,67.6,97.3,.448,.338,.520,51.1,53.8,6.6,11.1,.477,18.9,30.6,.309
Bryant,.516,-6.28,63.8,102.9,.328,.388,.529,49.0,53.7,7.8,7.0,.488,15.8,29.5,.246
Bucknell,.559,-3.66,64.1,105.8,.397,.331,.538,51.6,55.8,6.3,7.3,.501,14.8,29.9,.277
Buffalo NCAA,.697,7.93,68.7,108.5,.426,.303,.533,52.0,51.7,10.9,11.3,.487,14.1,34.5,.306
Butler NCAA,.676,16.64,64.2,105.9,.408,.287,.522,54.2,47.5,9.8,8.8,.484,14.3,34.7,.279
