school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.419,-13.93,69.7,101.4,.383,.335,.548,49.0,54.7,10.7,6.6,.514,17.2,26.0,.269
Air Force,.438,-5.51,68.9,97.7,.402,.339,.523,48.3,55.9,8.7,5.9,.485,16.8,24.9,.275
Akron,.743,5.55,69.2,110.4,.312,.506,.553,49.9,55.7,7.8,9.8,.528,13.6,29.0,.214
Alabama,.545,7.14,66.1,99.7,.407,.436,.525,47.5,47.0,8.7,14.2,.496,17.3,28.3,.262
Alabama A&M,.379,-13.47,65.7,102.3,.393,.367,.510,49.4,53.7,8.5,5.7,.471,14.9,31.5,.269
Alabama State,.452,-13.11,69.5,101.3,.325,.337,.501,49.6,47.2,8.3,9.1,.467,14.4,31.6,.222
Albany (NY),.727,0.93,67.8,110.3,.440,.317,.558,55.4,48.3,9.5,4.5,.509,15.6,35.1,.330
Alcorn State,.500,-16.01,66.5,98.9,.400,.335,.500,50.8,39.4,6.6,10.3,.460,17.6,35.0,.271
American,.387,-14.18,62.0,92.2,.317,.385,.522,46.8,55.2,9.1,6.3,.490,20.0,23.5,.221
Appalachian State,.290,-7.91,70.8,99.6,.391,.401,.514,49.7,49.7,5.8,7.5,.472,17.8,32.9,.275
Arizona NCAA,.735,18.79,69.8,112.8,.438,.294,.575,56.5,51.3,6.8,11.3,.536,15.7,34.9,.316
Arizona State,.469,8.28,69.8,104.2,.378,.394,.518,50.4,50.9,7.6,7.3,.481,14.5,31.5,.260
Arkansas,.500,10.23,71.3,107.5,.376,.273,.533,50.0,58.7,10.0,13.8,.497,13.2,30.9,.261
Arkansas State,.355,-7.48,72.7,99.7,.413,.307,.514,49.7,49.5,6.9,10.9,.464,15.2,28.1,.303
Arkansas-Pine Bluff,.242,-19.31,65.3,86.3,.301,.387,.474,44.6,47.0,10.9,10.8,.450,20.8,27.7,.184
Army,.576,-7.32,72.2,104.2,.315,.421,.530,52.1,56.0,6.7,8.3,.500,15.8,31.5,.218
Auburn,.355,0.15,72.5,97.1,.410,.439,.504,47.2,48.6,7.4,10.4,.473,16.4,27.9,.259
Austin Peay NCAA,.500,-6.04,70.5,106.4,.457,.315,.549,51.8,50.7,9.7,7.7,.516,16.8,33.0,.306
Ball State,.600,0.11,66.2,104.8,.349,.426,.554,51.7,59.9,8.1,10.0,.525,17.2,27.9,.242
Baylor NCAA,.647,16.13,67.6,112.8,.375,.286,.555,55.6,64.6,11.6,11.2,.518,15.5,40.1,.272
Belmont,.625,1.19,72.8,112.8,.352,.504,.611,49.3,59.5,6.2,6.3,.586,17.3,26.1,.255
Bethune-Cookman,.438,-14.35,68.2,102.3,.309,.407,.510,48.5,46.4,8.9,15.3,.478,15.8,32.9,.213
Binghamton,.267,-14.08,67.4,90.0,.362,.371,.483,48.0,52.9,7.9,6.4,.443,18.1,25.2,.247
Boise State,.625,7.23,70.5,109.1,.406,.424,.559,51.3,51.1,9.2,5.8,.523,14.4,28.5,.288
Boston College,.219,-1.61,67.0,91.0,.258,.407,.498,45.8,57.2,8.4,8.1,.475,18.0,21.8,.168
Boston University,.559,-6.79,69.4,104.1,.363,.395,.559,50.7,53.1,8.6,10.2,.526,17.4,27.1,.260
Bowling Green State,.471,-5.88,69.4,101.8,.398,.294,.528,50.6,46.9,8.9,9.2,.497,15.9,28.7,.261
Bradley,.156,-10.91,67.3,82.7,.393,.370,.473,49.1,48.2,6.5,7.7,.431,22.4,24.9,.261
Brigham Young,.703,12.36,74.0,112.6,.349,.364,.560,53.0,55.7,9.3,11.5,.532,13.6,31.0,.241
Brown,.286,-8.05,70.5,101.5,.369,.393,.534,48.3,59.4,7.5,10.2,.498,16.4,26.5,.259
Bryant,.258,-18.58,68.4,94.4,.268,.342,.498,46.3,55.0,8.2,7.4,.475,17.2,26.3,.172
Bucknell,.548,-2.09,71.5,108.2,.433,.357,.568,51.6,58.8,9.0,8.5,.530,16.4,29.8,.309
Buffalo NCAA,.571,1.34,72.6,105.9,.414,.370,.540,51.7,48.2,9.4,9.2,.499,15.9,32.2,.294
Butler NCAA,.667,16.46,69.8,114.0,.393,.305,.564,52.3,51.0,9.8,8.9,.526,12.5,32.1,.287
Cal Poly,.333,-3.49,67.8,104.9,.345,.376,.515,49.8,56.3,7.9,8.2,.482,12.7,30.1,.233
Cal State Bakersfield NCAA,.727,2.58,68.4,105.8,.374,.270,.527,52.8,59.0,11.6,14.2,.497,15.1,34.6,.245
Cal State Fullerton,.333,-7.12,70.0,99.8,.436,.342,.512,50.5,43.6,7.0,4.5,.467,16.0,29.8,.302
Cal State Northridge,.333,-6.85,71.4,98.1,.427,.247,.517,48.6,56.8,9.3,7.9,.469,16.9,27.4,.306
California NCAA,.676,15.39,68.2,108.5,.417,.337,.550,54.5,48.3,5.9,10.9,.522,15.3,32.6,.274
Campbell,.400,-11.07,70.0,104.7,.413,.404,.552,46.6,46.4,10.2,6.2,.512,15.0,23.3,.296
Canisius,.424,-5.62,68.9,108.3,.369,.415,.533,47.6,55.1,8.5,7.6,.490,13.5,31.0,.274
Central Arkansas,.250,-15.17,73.7,102.2,.419,.300,.531,50.4,50.4,7.4,9.4,.499,17.0,31.3,.276
Central Connecticut State,.138,-22.35,68.9,93.3,.311,.282,.483,48.8,50.0,6.3,9.0,.448,17.1,29.9,.211
Central Michigan,.515,-0.67,67.4,111.8,.310,.467,.554,48.3,50.9,6.9,7.1,.524,11.9,27.3,.223
Charleston Southern,.300,-10.92,70.0,101.4,.283,.448,.523,48.9,49.0,7.2,6.0,.506,15.6,27.0,.176
Charlotte,.424,-3.14,72.1,107.1,.332,.337,.540,49.9,52.3,8.5,5.5,.510,14.2,29.7,.231
Chattanooga NCAA,.829,3.24,68.1,110.5,.413,.371,.565,52.3,56.2,11.3,13.1,.524,15.7,32.6,.304
Chicago State,.125,-17.52,72.0,92.9,.287,.376,.472,47.7,49.1,10.7,9.3,.440,16.8,31.0,.192
Cincinnati NCAA,.667,15.19,65.5,108.9,.332,.366,.527,53.2,59.7,11.6,15.5,.493,13.7,36.6,.234
Clemson,.548,12.03,63.7,108.5,.333,.393,.540,50.4,54.6,9.0,14.2,.506,13.6,30.4,.241
Cleveland State,.281,-9.17,65.9,91.9,.308,.308,.486,48.6,46.4,9.3,8.1,.453,18.7,30.1,.209
Coastal Carolina,.636,-1.85,68.3,106.6,.361,.375,.539,52.4,46.4,8.6,9.7,.511,15.4,31.6,.240
Colgate,.433,-8.61,65.4,104.9,.292,.429,.549,47.7,53.3,9.2,7.2,.526,16.1,27.4,.198
College of Charleston,.548,2.37,65.2,99.6,.330,.346,.510,50.8,50.0,10.9,7.4,.480,16.5,30.0,.220
Colorado NCAA,.647,12.04,70.8,106.3,.398,.319,.534,55.7,53.3,7.3,11.6,.488,15.8,35.3,.293
Colorado State,.529,2.31,69.3,111.3,.417,.433,.545,53.6,51.8,5.4,6.2,.504,13.8,33.7,.299
Columbia,.714,3.45,66.7,113.1,.375,.450,.571,51.8,57.6,9.3,10.3,.537,13.9,30.2,.270
Connecticut NCAA,.694,15.89,66.1,109.0,.296,.336,.555,51.1,51.8,8.7,14.0,.516,14.0,28.5,.235
Coppin State,.290,-15.75,71.4,98.1,.381,.370,.491,47.1,47.0,7.6,7.2,.445,15.2,31.5,.269
Cornell,.357,-9.55,72.7,97.0,.324,.407,.516,43.2,43.0,10.6,9.6,.490,16.1,22.8,.211
Creighton,.571,13.69,72.1,110.5,.375,.386,.568,51.4,54.9,8.4,7.8,.538,14.2,27.3,.262
Dartmouth,.357,-5.58,69.1,102.1,.375,.285,.526,51.8,52.4,9.8,5.4,.484,17.5,33.6,.271
Davidson,.606,5.74,71.2,110.6,.327,.441,.558,47.1,55.6,6.5,7.7,.521,12.5,25.3,.249
Dayton NCAA,.758,11.34,68.6,104.5,.408,.350,.546,53.2,57.4,8.6,12.2,.516,16.3,28.7,.272
Delaware,.233,-8.62,67.4,97.8,.422,.311,.498,50.7,47.7,5.3,9.2,.453,15.3,29.5,.289
Delaware State,.219,-20.88,67.3,91.3,.295,.385,.478,44.8,51.7,8.0,8.8,.455,17.7,28.0,.182
Denver,.516,-3.34,62.7,104.0,.366,.423,.594,45.2,64.3,10.2,7.4,.557,19.2,20.1,.282
DePaul,.290,0.83,68.4,98.2,.365,.290,.527,50.6,48.7,7.0,9.2,.494,18.8,30.7,.248
Detroit Mercy,.516,-2.44,75.7,110.2,.412,.337,.563,51.4,45.5,9.0,11.2,.529,15.5,32.4,.288
Drake,.226,-5.15,66.0,101.1,.343,.341,.549,50.3,51.4,5.6,5.4,.515,18.1,25.6,.248
Drexel,.194,-5.42,65.6,95.9,.368,.300,.484,48.0,56.7,6.9,10.0,.443,14.6,28.3,.252
Duke NCAA,.694,19.23,68.4,117.7,.405,.398,.573,49.5,48.6,9.1,9.8,.537,12.2,33.0,.293
