school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.471,-4.12,71.1,100.3,.381,.267,.522,47.7,50.1,10.7,5.5,.479,15.6,26.6,.277
Air Force,.290,-4.77,63.4,103.6,.296,.472,.560,46.2,62.0,10.2,11.8,.538,16.9,23.8,.202
Akron NCAA,.686,2.77,66.9,109.6,.318,.428,.555,53.0,49.7,8.4,8.0,.523,14.5,30.6,.231
Alabama NCAA,.676,20.69,73.9,121.1,.353,.465,.599,52.6,51.7,9.3,11.0,.563,13.6,35.0,.273
Alabama A&M,.343,-14.35,71.7,95.8,.472,.269,.514,49.8,45.8,10.4,10.7,.459,19.4,31.9,.341
Alabama State,.406,-11.73,69.7,97.0,.284,.380,.463,50.1,44.7,12.2,12.0,.423,13.2,32.4,.205
Albany (NY),.406,-6.60,74.6,105.1,.288,.368,.538,50.0,44.8,11.1,7.4,.507,15.4,30.5,.209
Alcorn State,.438,-11.58,68.3,104.8,.378,.266,.527,51.4,45.4,10.0,5.7,.487,14.5,33.6,.269
American,.500,-8.96,63.1,108.1,.283,.456,.557,51.6,57.4,9.1,5.5,.530,15.0,28.4,.204
Appalachian State,.794,6.04,69.3,110.7,.313,.321,.552,53.4,49.9,8.7,15.4,.528,13.1,30.7,.213
Arizona NCAA,.750,24.54,73.3,116.8,.364,.334,.576,56.6,59.2,11.2,9.5,.545,13.6,35.6,.261
Arizona State,.438,4.58,70.6,97.5,.331,.377,.502,45.0,48.7,11.6,10.2,.473,13.2,21.9,.217
Arkansas,.485,6.12,72.2,106.1,.453,.329,.556,48.7,45.1,8.2,15.0,.505,14.6,25.2,.342
Arkansas State,.541,0.28,70.0,112.3,.329,.428,.545,52.1,52.5,8.0,10.0,.515,13.4,34.5,.231
Arkansas-Pine Bluff,.419,-15.56,74.3,107.8,.375,.493,.579,47.5,57.4,7.9,5.4,.539,16.1,24.3,.286
Army,.313,-14.67,63.1,94.5,.257,.451,.492,50.0,56.7,9.0,12.2,.477,16.6,27.3,.151
Auburn NCAA,.771,22.46,70.9,117.2,.383,.375,.580,52.3,61.6,10.4,15.9,.542,13.0,32.9,.287
Austin Peay,.543,-6.13,65.9,111.6,.310,.365,.542,48.9,41.2,10.7,7.6,.513,11.3,30.0,.219
Ball State,.484,-6.68,67.8,107.2,.385,.371,.558,50.9,50.1,8.0,8.1,.513,15.5,28.3,.295
Baylor NCAA,.686,19.50,66.8,117.8,.395,.386,.592,54.6,53.2,9.9,8.6,.558,15.0,35.8,.289
Bellarmine,.258,-11.79,66.8,103.1,.224,.380,.530,46.9,52.7,7.9,5.9,.499,12.7,22.6,.175
Belmont,.606,2.79,72.0,107.7,.303,.418,.579,48.6,54.7,10.4,8.1,.553,15.3,21.7,.219
Bethune-Cookman,.500,-11.87,71.8,100.4,.372,.311,.528,48.4,48.1,14.2,9.8,.481,16.7,29.9,.281
Binghamton,.500,-9.29,68.6,104.3,.342,.308,.535,53.6,54.3,7.2,10.3,.508,15.3,30.2,.228
Boise State NCAA,.667,13.31,66.9,111.4,.359,.397,.554,55.6,47.1,8.5,6.8,.516,14.1,34.1,.264
Boston College,.556,9.48,67.7,108.7,.250,.383,.553,50.7,51.8,8.6,9.4,.525,13.5,27.3,.187
Boston University,.485,-9.93,65.9,99.7,.303,.411,.516,51.5,55.6,9.8,9.6,.482,15.3,26.8,.217
Bowling Green State,.588,-4.93,69.1,104.6,.357,.357,.523,52.2,43.4,9.2,7.2,.484,14.1,30.5,.255
Bradley,.657,9.48,66.9,109.5,.275,.418,.573,51.2,49.1,10.6,11.9,.548,15.8,28.5,.200
