school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.500,-9.14,71.5,102.3,.309,.350,.549,49.7,55.4,11.3,11.6,.521,17.7,28.0,.217
Air Force,.387,-4.31,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233
Akron,.438,-6.82,69.0,102.7,.319,.467,.547,49.2,52.7,8.5,7.5,.518,17.3,27.5,.222
Alabama NCAA,.556,12.34,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.4,.281
Alabama A&M,.097,-23.97,68.2,88.2,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.9,.203
Alabama State,.258,-18.56,70.5,97.0,.352,.347,.496,47.9,41.7,7.7,11.2,.465,16.9,31.9,.227
Albany (NY),.688,0.02,67.3,110.3,.370,.273,.550,55.2,48.3,7.0,7.9,.507,14.7,34.9,.279
Alcorn State,.344,-18.07,70.4,99.2,.328,.382,.532,48.4,53.0,8.8,7.7,.499,17.9,27.2,.232
American,.200,-14.63,67.3,96.7,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.7,.202
Appalachian State,.455,-4.83,72.0,104.6,.378,.433,.539,52.3,47.6,8.2,8.9,.509,16.3,30.8,.252
Arizona NCAA,.771,15.67,68.6,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.3,.281
Arizona State NCAA,.625,14.37,72.2,113.5,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303
Arkansas NCAA,.657,14.76,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255
Arkansas State,.344,-9.65,70.4,104.3,.329,.364,.536,48.6,40.9,9.5,7.9,.502,15.9,30.6,.236
Arkansas-Pine Bluff,.400,-14.84,68.4,95.7,.366,.354,.528,43.6,52.4,11.4,11.7,.496,18.6,24.0,.247
Army,.433,-8.62,71.7,103.3,.243,.418,.542,49.6,61.1,7.9,8.2,.524,16.4,27.1,.160
Auburn NCAA,.765,15.97,73.4,111.5,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,32.0,.308
Austin Peay,.559,-3.28,70.1,104.7,.366,.294,.532,52.2,49.5,9.4,8.9,.505,16.8,35.7,.239
Ball State,.594,-1.22,71.1,104.7,.339,.384,.548,51.1,52.9,7.4,8.9,.516,16.1,27.9,.239
Baylor,.559,14.60,68.5,109.1,.319,.303,.556,54.2,54.8,7.9,12.2,.523,16.7,35.6,.234
Belmont,.727,5.54,68.5,113.3,.279,.542,.610,51.5,58.7,7.1,6.5,.588,16.3,25.2,.206
Bethune-Cookman,.563,-12.19,77.7,104.6,.402,.372,.540,52.1,55.5,8.1,8.9,.502,17.3,33.5,.282
Binghamton,.355,-10.27,67.9,101.6,.297,.378,.530,49.6,47.8,8.0,11.6,.510,15.8,26.0,.190
Boise State,.719,11.21,70.7,108.9,.313,.425,.572,55.9,48.6,8.0,5.9,.542,16.5,29.4,.231
Boston College,.543,9.00,70.1,107.7,.307,.395,.554,51.6,51.9,7.1,8.8,.521,15.5,29.6,.228
Boston University,.484,-8.33,68.7,102.6,.323,.355,.548,50.1,52.5,10.7,9.8,.529,17.6,29.0,.206
Bowling Green State,.500,-6.38,71.9,103.6,.372,.352,.526,51.2,51.4,8.1,6.6,.483,15.0,30.0,.272
Bradley,.606,2.07,66.3,101.7,.372,.343,.528,51.8,58.2,9.8,12.9,.490,17.3,31.9,.263
Brigham Young,.686,8.05,67.9,108.2,.376,.341,.579,51.0,58.0,9.3,11.0,.541,15.2,22.4,.282
Brown,.407,-7.78,72.7,104.0,.409,.361,.534,50.7,48.6,8.7,8.1,.483,15.7,30.3,.309
Bryant,.097,-18.75,71.0,98.2,.278,.401,.509,44.7,54.1,8.6,3.9,.479,15.9,26.1,.196
Bucknell NCAA,.714,4.49,72.4,110.3,.425,.392,.576,50.8,52.3,7.5,10.4,.539,15.1,27.0,.306
Buffalo NCAA,.750,7.99,73.9,113.4,.298,.406,.572,51.4,54.0,8.4,10.1,.549,14.3,31.8,.208
Butler NCAA,.600,16.92,69.6,111.0,.261,.374,.570,51.3,47.9,9.3,8.2,.540,13.9,27.4,.202
Cal Poly,.290,-11.56,66.6,98.4,.263,.411,.509,47.5,51.6,7.3,10.2,.470,15.2,25.8,.205
Cal State Bakersfield,.400,-6.58,67.4,97.9,.346,.367,.509,51.4,55.5,9.0,9.6,.473,17.6,32.3,.241
Cal State Fullerton NCAA,.625,-0.93,69.9,102.8,.433,.291,.559,51.1,50.1,8.9,8.6,.516,18.0,27.1,.316
Cal State Northridge,.200,-13.50,66.5,98.2,.280,.304,.518,46.0,50.1,7.4,6.3,.488,16.0,24.0,.198
California,.250,-3.40,70.6,95.6,.380,.275,.486,50.5,40.8,9.7,14.0,.446,17.4,34.7,.256
Campbell,.529,-5.68,68.6,109.8,.347,.432,.593,48.5,54.1,9.7,11.1,.561,15.6,21.5,.260
Canisius,.636,0.44,69.9,108.8,.299,.450,.568,49.5,61.4,10.0,8.1,.542,16.2,29.9,.213
Central Arkansas,.514,-5.83,74.3,106.4,.361,.372,.557,47.5,57.8,8.8,12.1,.519,15.9,27.2,.265
Central Connecticut State,.438,-11.62,66.3,100.3,.326,.345,.540,52.3,50.4,7.4,9.7,.510,19.1,31.1,.228
Central Michigan,.583,-1.39,69.1,112.0,.325,.474,.561,50.7,51.6,9.0,9.4,.517,14.2,31.4,.262
Charleston Southern,.484,-8.16,67.5,105.0,.324,.352,.539,51.2,45.9,10.5,11.8,.505,16.5,31.6,.234
Charlotte,.207,-10.13,72.2,98.2,.390,.345,.533,48.7,45.2,7.8,5.7,.493,18.1,26.3,.279
Chattanooga,.303,-11.09,67.4,101.0,.347,.430,.545,49.2,53.7,7.3,5.6,.511,18.0,27.2,.247
Chicago State,.094,-21.53,74.0,91.7,.330,.289,.494,45.5,47.4,9.8,7.0,.452,18.0,26.7,.239
Cincinnati NCAA,.861,20.25,66.1,112.3,.360,.353,.543,55.6,60.4,10.8,15.8,.512,14.1,38.5,.249
Clemson NCAA,.714,17.16,67.5,108.5,.335,.399,.566,51.7,51.5,8.3,13.3,.529,15.3,27.1,.253
Cleveland State,.343,-10.82,69.2,98.5,.291,.439,.537,44.3,53.5,9.5,7.3,.509,17.0,22.2,.205
Coastal Carolina,.438,-3.94,69.0,103.3,.387,.364,.535,54.2,53.1,7.7,11.5,.494,18.2,34.5,.279
Colgate,.576,-4.85,67.5,107.5,.291,.451,.554,49.0,51.4,9.0,10.0,.518,14.4,26.2,.225
College of Charleston NCAA,.765,1.83,65.9,111.1,.367,.378,.567,49.6,44.2,7.8,9.8,.527,13.2,25.7,.277
Colorado,.531,6.06,69.5,102.5,.333,.365,.542,52.4,50.5,6.2,10.5,.506,17.5,29.4,.243
Colorado State,.344,-3.86,71.4,100.0,.335,.352,.514,50.7,50.4,8.2,9.5,.476,15.9,30.7,.241
Columbia,.296,-5.63,71.0,106.6,.241,.435,.549,49.0,51.5,9.2,10.4,.522,15.2,27.6,.179
Connecticut,.438,1.08,67.1,99.9,.324,.360,.516,48.2,43.8,8.7,11.2,.475,16.0,29.4,.241
Coppin State,.156,-20.96,69.1,86.3,.272,.476,.472,44.8,51.4,7.6,7.0,.433,18.3,22.3,.201
Cornell,.429,-8.80,70.7,104.5,.356,.396,.563,48.0,60.3,7.1,8.7,.529,16.6,24.2,.260
Creighton NCAA,.636,16.35,72.8,113.8,.259,.450,.599,51.0,58.3,7.7,6.7,.575,13.9,22.5,.194
Dartmouth,.259,-10.31,67.8,100.2,.327,.383,.548,48.5,55.1,8.3,9.3,.517,17.9,23.7,.233
Davidson NCAA,.636,11.02,65.3,115.7,.246,.484,.602,50.8,61.3,7.1,6.1,.574,13.1,22.6,.196
Dayton,.452,1.64,67.0,106.4,.318,.440,.583,49.7,60.7,7.7,7.3,.555,18.1,25.5,.232
Delaware,.424,-6.93,67.0,105.0,.349,.311,.533,50.2,44.9,7.4,6.4,.508,13.9,27.2,.228
Delaware State,.125,-24.57,66.9,93.6,.290,.332,.502,48.2,46.9,8.7,8.2,.471,19.4,30.4,.201
Denver,.500,-5.21,68.7,104.6,.318,.310,.560,54.4,56.3,6.2,7.4,.535,18.7,31.4,.221
DePaul,.355,6.55,71.2,100.6,.294,.327,.512,51.7,56.8,9.0,9.2,.479,16.5,32.9,.208
Detroit Mercy,.250,-12.47,75.4,103.9,.306,.401,.541,47.5,49.5,8.8,7.1,.504,15.8,27.8,.231
Drake,.500,-0.51,69.3,104.1,.325,.403,.551,48.4,58.5,8.5,6.7,.510,15.3,23.4,.250
Drexel,.394,-7.20,70.1,104.4,.324,.351,.533,49.9,43.2,7.5,10.0,.498,15.1,30.7,.234
Duke NCAA,.784,24.43,70.6,118.6,.346,.363,.586,55.5,57.6,10.5,12.4,.559,14.7,38.8,.246
Duquesne,.500,-1.08,66.5,106.4,.354,.398,.529,51.2,47.7,8.5,11.7,.497,14.9,33.0,.242
East Carolina,.333,-8.72,68.8,95.3,.287,.346,.509,47.9,52.4,7.1,7.9,.483,18.0,27.8,.191
East Tennessee State,.735,3.72,69.7,107.9,.331,.363,.564,52.9,54.0,11.2,12.7,.536,16.7,31.2,.235
Eastern Illinois,.387,-8.33,66.4,99.9,.319,.363,.519,49.9,53.6,8.8,13.1,.489,17.3,30.3,.218
Eastern Kentucky,.355,-10.57,69.8,102.6,.337,.359,.540,48.0,52.1,8.9,9.9,.501,16.3,27.6,.252
Eastern Michigan,.629,-0.23,67.5,105.0,.298,.347,.547,49.7,48.2,12.7,18.6,.522,16.3,30.0,.203
Eastern Washington,.571,-0.03,69.2,107.4,.284,.411,.572,49.6,47.0,7.6,8.1,.541,14.9,22.4,.217
Elon,.438,-6.89,68.0,104.5,.239,.504,.550,48.2,60.2,6.2,5.8,.527,14.9,22.6,.170
Evansville,.531,0.68,65.7,99.1,.350,.271,.543,50.8,57.0,9.0,9.5,.498,18.3,24.8,.271
Fairfield,.515,-4.98,72.1,103.3,.309,.444,.544,48.3,55.3,8.7,7.6,.514,15.4,24.4,.220
FDU,.419,-10.41,71.8,103.9,.307,.334,.540,48.3,49.4,9.9,8.7,.508,16.6,30.8,.223
Florida NCAA,.618,16.66,68.4,109.6,.326,.403,.540,48.5,49.8,10.1,12.7,.507,12.3,28.7,.234
Florida A&M,.265,-19.21,69.5,97.4,.324,.311,.513,45.2,44.5,8.1,7.8,.474,17.1,27.8,.234
Florida Atlantic,.387,-5.35,70.9,97.7,.278,.286,.493,50.6,47.6,8.2,10.0,.456,15.3,29.2,.205
Florida Gulf Coast,.657,1.94,73.3,110.9,.321,.330,.583,53.8,51.2,10.0,7.6,.554,16.8,31.7,.238
Florida International,.438,-4.30,69.8,98.9,.368,.331,.503,47.8,46.4,10.6,9.0,.479,13.6,25.4,.224
Florida State NCAA,.657,15.78,72.2,109.5,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,32.0,.256
Fordham,.290,-6.74,66.8,92.5,.269,.468,.510,42.6,60.5,13.6,6.4,.479,16.9,18.8,.190
Fresno State,.656,8.17,68.5,110.9,.378,.304,.578,51.9,46.9,9.8,9.3,.550,15.3,28.2,.262
Furman,.697,4.43,70.5,112.1,.278,.474,.577,50.1,55.8,11.3,6.0,.554,14.4,27.6,.198
Gardner-Webb,.438,-9.70,69.1,100.6,.284,.365,.538,50.7,50.5,8.7,8.5,.508,17.2,26.9,.204
George Mason,.485,-2.97,69.6,101.4,.318,.362,.529,50.8,44.9,8.5,8.0,.491,15.9,27.9,.236
George Washington,.455,-0.72,66.3,101.8,.289,.301,.526,50.8,52.9,8.6,13.1,.495,16.5,31.7,.205
Georgetown,.500,7.16,71.6,106.2,.383,.351,.564,53.3,65.3,7.4,9.8,.518,18.0,31.2,.297
Georgia,.545,10.24,65.3,102.7,.401,.346,.517,53.6,52.4,5.8,12.7,.475,16.2,34.8,.281
Georgia Southern,.636,-0.54,70.5,107.2,.396,.394,.529,49.5,38.9,9.7,10.4,.497,13.6,31.1,.263
Georgia State NCAA,.686,3.22,67.9,108.8,.303,.413,.562,47.7,48.6,10.7,15.1,.540,14.5,26.0,.205
Georgia Tech,.406,5.25,66.5,98.3,.348,.277,.509,50.0,54.3,10.3,14.3,.469,16.6,30.8,.248
Gonzaga NCAA,.865,18.44,69.7,118.2,.321,.394,.593,56.0,50.1,8.9,9.6,.570,13.9,32.9,.227
Grambling,.548,-12.97,73.8,97.8,.415,.254,.509,50.7,44.0,10.4,9.7,.461,17.7,32.0,.295
Grand Canyon,.647,3.78,70.3,104.3,.394,.391,.531,51.4,63.2,8.8,10.1,.492,16.0,31.5,.277
Green Bay,.394,-8.51,74.1,102.1,.331,.401,.537,48.7,53.4,9.2,7.8,.497,16.2,26.3,.249
Hampton,.529,-9.37,75.0,105.2,.335,.289,.537,50.9,53.4,7.1,8.9,.492,14.9,29.6,.260
Hartford,.576,-5.54,67.7,103.8,.309,.426,.551,48.9,51.9,8.9,11.2,.527,16.0,25.2,.210
Harvard,.563,-0.28,66.5,100.6,.288,.411,.541,52.0,53.1,8.0,11.4,.503,18.1,26.7,.224
Hawaii,.567,-2.33,68.9,100.5,.411,.376,.540,50.8,59.4,8.1,5.7,.504,17.1,26.6,.282
High Point,.467,-6.75,67.1,105.2,.348,.270,.540,51.6,45.5,11.0,8.5,.507,16.0,31.9,.244
Hofstra,.613,-0.53,70.3,112.6,.367,.371,.562,51.4,47.6,7.1,7.0,.534,13.2,31.0,.251
Holy Cross,.387,-9.92,63.7,99.1,.296,.397,.551,45.0,58.1,9.7,11.4,.526,17.6,19.3,.205
Houston NCAA,.771,15.99,68.5,112.0,.326,.372,.563,54.6,53.0,9.1,9.0,.533,14.9,33.6,.234
Houston Christian,.194,-16.14,75.5,100.9,.345,.329,.497,50.9,50.2,8.7,7.5,.471,15.5,35.6,.215
Howard,.303,-17.26,71.3,102.2,.345,.387,.527,46.8,48.1,7.4,7.3,.491,16.0,29.5,.244
Idaho,.710,0.82,68.0,110.1,.323,.388,.577,54.8,56.0,6.4,7.8,.547,16.9,31.4,.237
Idaho State,.467,-5.76,70.8,104.1,.362,.389,.575,48.0,45.5,8.0,6.1,.552,17.5,21.3,.246
Illinois,.438,8.50,70.8,105.8,.335,.362,.537,49.8,51.6,10.5,6.3,.500,15.8,34.1,.245
Illinois State,.545,1.07,69.3,101.0,.334,.461,.532,47.6,57.6,9.2,11.2,.503,16.5,25.9,.228
Illinois-Chicago,.556,-2.91,73.6,101.9,.363,.330,.546,50.9,47.4,9.2,16.1,.507,18.0,28.8,.267
Incarnate Word,.250,-17.71,72.5,97.4,.402,.315,.530,47.6,46.3,8.3,12.3,.481,19.2,28.3,.300
Indiana,.516,9.89,67.5,105.2,.364,.341,.538,51.0,54.0,9.4,12.1,.511,15.7,31.8,.239
Indiana State,.419,1.53,70.1,100.6,.357,.415,.533,51.1,47.2,10.4,9.7,.498,17.4,28.2,.252
Iona NCAA,.588,0.75,71.5,109.2,.302,.408,.569,47.2,56.6,9.3,7.6,.539,14.3,24.4,.223
Iowa,.424,8.13,71.0,111.4,.354,.340,.570,53.5,63.6,7.3,10.3,.543,16.0,34.1,.246
Iowa State,.419,6.88,69.6,103.9,.298,.349,.529,49.5,51.8,6.9,11.1,.499,14.7,29.6,.209
IU Indy,.367,-9.82,68.7,98.9,.324,.348,.515,50.0,52.7,9.9,10.2,.486,17.7,31.7,.216
Jackson State,.375,-17.66,65.4,94.0,.259,.377,.462,47.5,49.0,11.1,8.8,.434,14.6,31.0,.169
Jacksonville,.455,-13.39,72.4,98.8,.312,.302,.525,49.2,46.3,9.3,8.9,.501,17.1,27.3,.205
Jacksonville State,.639,-0.30,67.8,105.2,.314,.311,.538,54.0,56.8,8.9,14.9,.507,16.3,33.1,.224
James Madison,.313,-5.47,69.4,103.0,.345,.360,.520,49.8,47.8,10.0,9.5,.480,14.5,29.8,.251
Kansas NCAA,.795,21.39,70.2,115.5,.270,.412,.594,50.3,55.7,9.2,10.9,.575,14.6,29.3,.191
Kansas City,.313,-10.19,72.4,96.8,.344,.455,.520,44.0,46.8,8.7,6.7,.483,16.0,21.7,.245
Kansas State NCAA,.676,12.85,66.6,106.4,.338,.368,.560,47.4,54.4,11.9,9.3,.525,15.3,25.8,.248
Kennesaw State,.333,-11.17,71.4,101.4,.337,.247,.531,48.3,55.4,10.0,7.8,.500,16.6,29.6,.233
Kent State,.500,-3.73,70.3,103.1,.325,.382,.525,50.5,45.1,8.4,9.7,.487,15.7,31.7,.237
Kentucky NCAA,.703,17.24,69.8,109.6,.440,.258,.555,53.6,49.0,8.0,13.7,.518,15.8,35.5,.307
La Salle,.406,1.70,69.0,102.8,.310,.373,.534,49.7,50.2,8.3,7.3,.490,14.6,25.5,.244
Lafayette,.323,-9.77,68.9,102.9,.297,.414,.566,48.5,49.7,6.1,8.8,.532,17.4,21.1,.228
Lamar,.576,-5.19,71.1,105.0,.374,.370,.524,51.4,51.4,11.8,6.4,.494,15.3,32.8,.245
Lehigh,.533,-6.41,71.0,107.0,.260,.391,.563,49.9,51.3,8.4,5.1,.532,15.5,25.4,.202
Liberty,.595,-2.68,64.1,108.3,.339,.413,.579,53.1,58.0,9.0,9.1,.539,16.2,24.0,.268
Lipscomb NCAA,.697,-2.10,77.0,105.0,.405,.399,.557,52.2,56.0,8.4,8.0,.518,16.9,28.3,.291
Little Rock,.219,-10.45,66.6,94.2,.315,.355,.505,49.1,52.1,7.4,9.5,.484,18.5,28.9,.192
Long Beach State,.455,-3.76,72.3,103.4,.399,.291,.545,51.2,48.4,9.1,8.9,.503,18.0,32.5,.291
Long Island University NCAA,.514,-8.60,72.9,105.3,.382,.397,.555,51.0,47.3,7.6,7.6,.523,17.0,29.7,.266
Longwood,.212,-18.31,69.7,90.8,.335,.392,.511,46.2,44.9,9.5,9.1,.477,20.2,22.9,.230
Louisiana,.794,7.58,72.7,114.1,.370,.391,.575,54.7,60.9,10.3,11.1,.535,15.6,36.1,.282
Louisiana State,.545,10.93,69.4,111.3,.326,.402,.575,49.4,51.0,11.0,9.7,.545,14.7,29.2,.238
Louisiana Tech,.515,1.33,69.1,107.7,.371,.408,.559,49.6,56.1,8.6,10.4,.523,15.5,27.6,.269
Louisiana-Monroe,.500,-6.28,67.0,103.4,.243,.430,.538,49.3,55.0,9.6,4.1,.513,15.5,27.1,.174
Louisville,.611,14.30,69.7,106.9,.319,.352,.552,49.7,50.5,9.9,15.0,.518,14.7,28.6,.235
Loyola (IL) NCAA,.842,10.37,65.9,108.6,.319,.357,.602,51.3,59.7,9.6,6.8,.577,17.3,22.4,.231
