school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.433,-2.79,70.9,104.9,.318,.341,.543,49.1,58.0,12.3,7.0,.510,15.5,28.6,.230
Air Force,.438,2.00,63.6,104.0,.312,.448,.570,47.7,64.9,8.9,11.0,.542,17.2,22.3,.226
Akron,.667,4.19,67.2,110.3,.339,.445,.559,52.1,52.5,8.9,7.2,.524,14.4,29.9,.250
Alabama NCAA,.838,23.19,72.6,110.4,.366,.472,.557,54.4,54.3,8.2,11.3,.521,15.9,34.2,.266
Alabama A&M,.455,-10.78,69.9,98.9,.347,.327,.528,47.8,50.9,11.4,12.0,.501,18.6,30.0,.228
Alabama State,.258,-16.33,68.6,92.0,.321,.332,.468,48.5,45.2,8.5,9.1,.426,16.5,32.4,.226
Albany (NY),.258,-14.36,67.9,98.8,.313,.413,.517,49.8,50.0,8.4,4.5,.481,17.0,28.8,.226
Alcorn State,.563,-8.74,67.8,98.2,.353,.297,.496,50.2,41.4,11.7,7.7,.452,15.6,33.7,.254
American,.531,-8.26,62.6,102.9,.279,.361,.567,51.0,55.5,11.7,11.4,.544,19.5,28.3,.196
Appalachian State,.500,-1.50,67.3,103.6,.293,.392,.532,49.8,50.9,9.4,12.8,.507,14.3,25.8,.198
Arizona NCAA,.800,19.08,72.7,112.6,.358,.377,.591,54.2,64.7,8.4,8.1,.565,16.2,30.7,.253
Arizona State NCAA,.639,11.29,69.0,101.9,.312,.393,.515,48.8,56.6,10.2,13.3,.484,14.5,29.2,.215
Arkansas NCAA,.611,15.99,70.2,105.1,.393,.277,.545,51.7,48.1,11.9,13.1,.509,15.8,30.7,.274
Arkansas State,.394,-8.07,64.8,101.0,.334,.330,.520,50.3,55.7,10.2,9.2,.490,15.6,29.0,.226
Arkansas-Pine Bluff,.323,-12.99,71.3,93.0,.328,.433,.501,48.7,56.5,11.2,7.9,.460,18.6,27.2,.238
Army,.515,-7.13,68.1,106.5,.308,.387,.568,53.0,48.8,7.4,6.0,.546,16.7,27.5,.210
Auburn NCAA,.618,14.35,68.7,105.6,.363,.352,.530,50.4,54.7,11.2,13.6,.495,15.1,32.8,.253
Austin Peay,.290,-12.17,66.8,99.4,.277,.385,.510,47.1,52.1,10.6,8.8,.477,15.2,28.0,.201
Ball State,.625,-1.20,68.5,111.1,.425,.365,.570,52.1,50.2,8.0,9.8,.538,15.4,31.2,.293
Baylor NCAA,.676,17.30,67.8,113.3,.368,.449,.570,51.5,54.9,9.6,6.9,.532,15.2,34.4,.274
Bellarmine,.455,-7.42,62.8,104.7,.251,.433,.562,48.0,58.6,8.8,5.4,.535,15.9,22.1,.189
Belmont,.656,1.88,69.0,109.9,.249,.416,.575,48.4,54.3,10.1,8.1,.553,14.6,25.2,.181
Bethune-Cookman,.375,-17.15,69.5,97.2,.315,.325,.507,46.2,46.9,10.3,7.7,.473,16.2,27.6,.220
Binghamton,.419,-10.44,67.0,101.0,.297,.302,.530,51.0,45.5,6.8,8.4,.499,16.7,29.0,.212
Boise State NCAA,.706,12.78,66.8,106.8,.303,.378,.553,52.6,43.8,7.5,8.0,.521,14.6,27.4,.222
Boston College,.485,1.09,66.7,99.0,.273,.315,.519,49.3,50.4,9.5,10.4,.487,16.1,27.5,.198
Boston University,.469,-8.10,66.3,99.7,.284,.391,.513,51.3,44.0,9.5,7.5,.477,15.5,28.6,.210
Bowling Green State,.355,-8.46,71.2,106.7,.335,.354,.547,50.8,51.0,8.5,8.1,.512,14.9,29.6,.243
Bradley,.714,6.51,65.9,106.8,.275,.391,.550,52.8,50.7,10.3,11.8,.530,15.4,29.2,.183
