school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.694,2.25,71.9,105.2,.382,.358,.541,48.2,56.9,14.9,6.3,.495,15.1,29.1,.288
Air Force,.379,-5.67,63.4,93.1,.268,.435,.528,44.6,57.7,8.6,9.1,.509,19.6,19.6,.174
Akron NCAA,.706,0.91,64.1,109.8,.390,.416,.563,53.0,47.9,9.1,9.2,.533,15.4,30.6,.268
Alabama NCAA,.576,14.62,73.2,108.1,.329,.476,.547,52.3,53.1,9.6,11.9,.513,16.7,35.3,.239
Alabama A&M,.400,-14.43,68.3,88.5,.335,.249,.459,48.8,43.4,10.1,8.8,.412,16.8,28.7,.239
Alabama State,.323,-12.05,71.4,96.7,.378,.330,.520,48.3,49.7,10.5,9.6,.481,18.7,29.7,.264
Albany (NY),.419,-9.80,65.8,93.6,.250,.323,.492,48.4,40.9,10.2,7.5,.462,16.4,26.1,.176
Alcorn State,.500,-8.68,69.0,95.8,.324,.292,.494,51.1,43.1,10.7,7.6,.458,17.3,31.9,.224
American,.313,-15.38,66.8,94.3,.256,.280,.521,48.1,49.9,9.7,8.3,.496,18.0,21.6,.177
Appalachian State,.559,-1.45,65.5,102.0,.273,.430,.513,50.4,51.9,8.5,7.1,.490,13.6,27.3,.180
Arizona NCAA,.892,22.75,72.7,114.7,.349,.359,.587,55.0,65.0,9.2,13.4,.556,15.8,34.6,.258
Arizona State,.452,7.64,67.9,94.7,.212,.372,.492,47.2,53.4,9.7,12.4,.471,15.2,24.9,.140
Arkansas NCAA,.757,16.27,72.0,104.8,.372,.342,.533,52.0,52.7,10.5,11.7,.486,14.6,29.5,.282
Arkansas State,.621,-3.27,69.5,101.5,.332,.306,.537,51.5,60.7,11.3,8.5,.498,17.4,29.8,.247
Arkansas-Pine Bluff,.226,-18.96,69.3,95.3,.345,.407,.510,43.8,50.1,10.3,6.4,.470,16.8,24.6,.247
Army,.484,-10.53,69.9,99.9,.316,.355,.516,51.3,48.4,11.1,5.3,.494,16.2,30.0,.199
Auburn NCAA,.824,19.20,71.3,108.1,.316,.398,.534,52.5,53.1,11.5,21.1,.499,14.2,33.6,.231
Austin Peay,.414,-10.02,66.1,96.6,.266,.443,.508,48.6,58.6,9.6,6.1,.478,18.0,29.5,.188
Ball State,.452,-7.99,71.6,103.4,.374,.412,.549,49.6,51.8,8.4,7.0,.516,17.1,27.1,.260
Baylor NCAA,.794,21.73,68.6,111.5,.290,.384,.553,53.4,56.3,12.7,9.7,.528,15.1,36.3,.202
Bellarmine,.606,-3.77,63.8,109.4,.217,.409,.568,48.3,54.4,8.8,5.8,.545,13.3,23.7,.163
Belmont,.758,6.49,70.3,110.5,.266,.434,.585,49.9,62.2,12.8,11.0,.560,15.0,24.6,.197
Bethune-Cookman,.300,-14.70,67.4,93.3,.287,.252,.491,48.2,45.4,11.7,7.1,.459,17.1,28.4,.198
Binghamton,.414,-10.41,67.3,100.0,.230,.356,.523,50.5,44.8,8.4,10.0,.504,16.3,27.2,.152
Boise State NCAA,.771,11.93,64.9,104.1,.350,.388,.536,53.6,47.0,9.1,9.6,.512,15.9,30.6,.227
Boston College,.394,4.03,65.5,100.7,.296,.324,.511,50.9,50.2,10.8,8.6,.478,15.4,30.0,.208
Boston University,.629,-5.07,65.3,106.9,.290,.378,.552,53.4,43.0,8.5,6.6,.521,15.9,31.1,.214
Bowling Green State,.419,-8.82,74.4,107.1,.315,.371,.535,50.3,44.3,9.8,9.4,.498,14.1,30.7,.233
Bradley,.548,5.79,68.1,103.2,.279,.397,.536,54.9,52.4,9.3,13.1,.511,17.1,32.1,.192
Brigham Young,.686,10.05,69.1,106.7,.265,.377,.549,54.8,53.4,6.9,8.6,.524,15.7,30.8,.190
Brown,.448,-3.32,69.7,101.8,.308,.393,.529,50.7,47.9,9.6,11.1,.497,16.4,29.4,.218
Bryant NCAA,.688,-4.80,73.0,106.1,.322,.431,.538,51.8,50.5,8.8,10.1,.502,16.1,33.1,.236
Bucknell,.281,-14.62,68.3,101.8,.283,.376,.561,47.1,57.6,6.6,7.9,.528,17.5,21.4,.217
Buffalo,.633,1.90,72.5,110.3,.260,.381,.545,55.0,50.6,9.8,10.8,.520,15.3,37.2,.184
Butler,.424,4.45,64.9,97.2,.304,.417,.512,49.1,48.5,7.9,7.0,.480,16.1,26.7,.211
Cal Poly,.250,-10.60,65.5,92.5,.368,.350,.505,51.3,49.7,7.1,7.0,.460,19.5,27.9,.268
Cal State Bakersfield,.321,-7.57,65.6,98.9,.303,.231,.492,52.8,40.9,9.4,8.4,.456,15.1,33.6,.214
Cal State Fullerton NCAA,.656,-0.04,67.2,104.2,.351,.300,.539,51.1,45.5,10.8,5.7,.494,15.7,29.7,.269
