school_name,win_loss_pct,srs,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,.645,-2.87,71.1,105.0,.383,.373,.549,50.1,56.6,13.1,7.9,.507,16.9,30.6,.284
Air Force,.375,-0.37,68.9,106.0,.357,.417,.568,50.0,58.5,7.3,4.6,.534,16.1,22.7,.261
Akron,.774,7.15,70.6,107.2,.351,.444,.562,50.7,51.4,7.2,7.3,.521,16.0,27.9,.271
Alabama,.516,11.12,76.1,106.0,.369,.489,.553,49.7,51.6,8.2,10.4,.522,16.7,29.8,.256
Alabama A&M,.267,-18.88,69.6,87.9,.327,.317,.462,47.5,49.7,8.3,5.7,.424,16.4,24.7,.219
Alabama State,.250,-16.15,70.8,86.7,.357,.390,.477,47.1,47.6,8.8,6.0,.446,19.9,25.7,.222
Albany (NY),.438,-8.78,69.7,95.0,.339,.438,.518,49.8,56.4,8.0,7.9,.482,17.5,24.1,.239
Alcorn State,.500,-14.64,72.6,102.5,.304,.399,.536,51.3,51.5,10.9,8.4,.500,17.1,30.2,.226
American,.533,-4.37,69.0,103.4,.286,.348,.543,48.5,48.2,11.6,9.3,.516,15.7,26.5,.201
Appalachian State,.545,-0.81,68.6,99.3,.412,.388,.524,49.7,49.2,10.8,6.5,.489,17.0,27.7,.274
Arizona,.656,19.49,70.3,107.9,.367,.347,.546,52.5,57.9,9.5,10.6,.507,14.5,30.7,.269
Arizona State,.645,11.46,73.7,100.1,.324,.369,.521,48.5,42.3,10.9,9.4,.488,15.7,26.5,.225
Arkansas,.625,13.46,71.4,104.5,.425,.399,.553,45.2,47.2,10.9,10.3,.509,14.4,21.5,.311
Arkansas State,.500,-2.92,68.5,102.4,.474,.317,.537,49.3,58.9,10.0,7.6,.490,16.5,28.8,.336
Arkansas-Pine Bluff,.133,-21.65,67.6,79.3,.374,.289,.462,48.9,49.0,10.6,9.8,.435,23.3,27.9,.220
Army,.500,-9.10,69.7,100.9,.253,.370,.545,48.6,59.3,7.9,4.6,.533,15.4,20.0,.156
Auburn,.806,15.04,70.4,108.2,.438,.441,.536,53.7,49.1,8.9,12.9,.500,15.0,35.3,.295
Austin Peay,.636,-0.98,69.9,108.8,.368,.331,.552,52.1,48.7,9.4,8.2,.516,15.6,33.1,.264
Ball State,.581,4.12,69.4,100.2,.308,.480,.536,51.0,55.7,9.6,9.0,.508,17.0,25.3,.213
Baylor,.867,20.13,66.6,106.4,.308,.369,.523,52.5,54.1,12.2,12.5,.494,14.9,35.7,.213
Belmont,.788,4.30,72.8,109.4,.227,.438,.572,50.5,61.3,10.4,8.0,.553,14.6,24.9,.162
Bethune-Cookman,.533,-10.16,75.0,98.3,.381,.313,.515,50.5,46.3,9.5,7.5,.474,17.6,30.6,.267
Binghamton,.345,-15.03,69.4,99.6,.238,.479,.517,47.1,47.3,7.5,7.9,.489,15.5,25.6,.173
Boise State,.625,8.59,70.0,106.5,.362,.421,.560,51.5,50.2,8.0,4.1,.520,15.5,25.9,.271
Boston College,.406,1.82,69.6,92.4,.291,.405,.492,46.4,54.3,11.0,7.1,.465,17.3,25.4,.191
Boston University,.618,-1.87,66.8,105.0,.270,.344,.534,52.1,46.8,8.1,6.1,.516,14.6,28.9,.174
Bowling Green State,.677,0.47,71.6,103.2,.287,.364,.517,51.1,46.2,7.6,6.1,.479,13.3,28.7,.215
Bradley,.676,5.33,67.3,105.7,.319,.313,.536,53.5,52.4,7.1,12.5,.499,14.9,31.5,.235
Brigham Young,.750,16.93,69.7,112.8,.239,.414,.603,49.6,58.4,8.2,5.4,.588,14.3,20.5,.168
Brown,.556,-4.45,70.2,95.4,.325,.381,.497,52.1,48.6,9.4,11.9,.455,18.2,32.3,.237
Bryant,.469,-6.70,70.7,100.0,.304,.433,.513,52.0,55.0,9.1,11.3,.485,17.2,31.6,.206
